Date,BR007,TG005
2015-01-01,,0.3075
2015-01-02,,0.575
2015-01-03,,0.8425
2015-01-04,,1.11
2015-01-05,,0.55
2015-01-06,,0.53
2015-01-07,,2.14
2015-01-08,,1.58
2015-01-09,,1.22
2015-01-10,,1.27
2015-01-11,,1.23
2015-01-12,,1.19
2015-01-13,,1.88
2015-01-14,,2.78
2015-01-15,,1.5
2015-01-16,,1.19
2015-01-17,,1.96
2015-01-18,,1.88
2015-01-19,,1.4
2015-01-20,,1.11
2015-01-21,,0.94
2015-01-22,,1.11
2015-01-23,,1.24
2015-01-24,,1.12
2015-01-25,,0.98
2015-01-26,,0.57
2015-01-27,,0.72
2015-01-28,,0.86
2015-01-29,,1.13
2015-01-30,,1.34
2015-01-31,,1.64
2015-02-01,,1.62
2015-02-02,,0.85
2015-02-03,,0.9
2015-02-04,,2.75
2015-02-05,,2.84
2015-02-06,,2.02
2015-02-07,,1.34
2015-02-08,,0.91
2015-02-09,,0.8
2015-02-10,,0.67
2015-02-11,,0.495
2015-02-12,,0.32
2015-02-13,,0.13
2015-02-14,,0.905
2015-02-15,,1.68
2015-02-16,,2.66
2015-02-17,,2.59
2015-02-18,,1.64
2015-02-19,,0.91
2015-02-20,,0.93
2015-02-21,,1.05
2015-02-22,,2.29
2015-02-23,,2.72
2015-02-24,,1.46
2015-02-25,,1.1
2015-02-26,,1.31
2015-02-27,,1.13
2015-02-28,,0.95
2015-03-01,,1.21
2015-03-02,,1.55
2015-03-03,,1.44
2015-03-04,,0.96
2015-03-05,,1.01
2015-03-06,,0.56
2015-03-07,,0.86
2015-03-08,,1.16
2015-03-09,,1.1
2015-03-10,,1.63
2015-03-11,,1.83
2015-03-12,,1.37
2015-03-13,,1.4
2015-03-14,,0.71
2015-03-15,,0.75
2015-03-16,,0.73
2015-03-17,,0.75
2015-03-18,,0.91
2015-03-19,,0.85
2015-03-20,,1.12
2015-03-21,,1.56
2015-03-22,,1.37
2015-03-23,,2.93
2015-03-24,,2.77
2015-03-25,,2.08
2015-03-26,,1.02
2015-03-27,,0.94
2015-03-28,,1.0
2015-03-29,,1.03
2015-03-30,,0.82
2015-03-31,,1.01
2015-04-01,,0.88
2015-04-02,,0.87
2015-04-03,,0.25
2015-04-04,,0.5
2015-04-05,,0.59
2015-04-06,,0.31
2015-04-07,,0.32
2015-04-08,,0.4
2015-04-09,,
2015-04-10,,
2015-04-11,,
2015-04-12,,
2015-04-13,,
2015-04-14,,
2015-04-15,,
2015-04-16,,
2015-04-17,,
2015-04-18,,
2015-04-19,,
2015-04-20,,
2015-04-21,,
2015-04-22,,
2015-04-23,,
2015-04-24,,
2015-04-25,,
2015-04-26,,
2015-04-27,,
2015-04-28,,
2015-04-29,,
2015-04-30,,
2015-05-01,,
2015-05-02,,
2015-05-03,,
2015-05-04,,
2015-05-05,,
2015-05-06,,
2015-05-07,,
2015-05-08,,
2015-05-09,,
2015-05-10,,
2015-05-11,,
2015-05-12,,
2015-05-13,,
2015-05-14,,
2015-05-15,,
2015-05-16,,
2015-05-17,,
2015-05-18,,
2015-05-19,,
2015-05-20,,
2015-05-21,,
2015-05-22,,
2015-05-23,,
2015-05-24,,
2015-05-25,,
2015-05-26,,
2015-05-27,,
2015-05-28,,
2015-05-29,,
2015-05-30,,
2015-05-31,,
2015-06-01,0.0,
2015-06-02,0.09,
2015-06-03,0.0,
2015-06-04,0.0,
2015-06-05,0.0,
2015-06-06,0.0,
2015-06-07,0.0,
2015-06-08,0.06,
2015-06-09,0.01,
2015-06-10,0.0,
2015-06-11,0.0,
2015-06-12,0.0,
2015-06-13,0.0,
2015-06-14,0.0,
2015-06-15,0.0,
2015-06-16,0.0,
2015-06-17,0.0,
2015-06-18,0.0,
2015-06-19,10.5075,
2015-06-20,21.015,
2015-06-21,31.5225,
2015-06-22,42.03,
2015-06-23,0.64,
2015-06-24,0.88,
2015-06-25,0.38,
2015-06-26,0.63,
2015-06-27,0.91,
2015-06-28,0.72,
2015-06-29,1.13,
2015-06-30,0.91,
2015-07-01,0.57,
2015-07-02,0.55,
2015-07-03,0.56,
2015-07-04,0.7,
2015-07-05,0.57,
2015-07-06,0.93,
2015-07-07,0.82,
2015-07-08,0.79,
2015-07-09,0.88,
2015-07-10,0.78,
2015-07-11,0.66,
2015-07-12,0.57,
2015-07-13,0.59,
2015-07-14,0.73,
