Date,Bengaluru,Delhi,Hyderabad
2017-09-01,86.06,41.64,63.66
2017-09-02,87.12,45.86,75.72
2017-09-03,59.94,79.78,37.21
2017-09-04,85.24,84.29,49.36
2017-09-05,98.1,75.82,62.12
2017-09-06,49.13,85.23,70.96
2017-09-07,100.44,67.06,80.64
2017-09-08,72.73,101.89,58.94
2017-09-09,83.19,111.65,57.8
2017-09-10,93.49,119.5,41.91
2017-09-11,115.56,120.06,30.25
2017-09-12,104.51,103.84,27.36
2017-09-13,108.42,143.16,36.34
2017-09-14,90.68,186.11,17.55
2017-09-15,71.81,127.68,27.69
2017-09-16,92.8,82.26,19.92
2017-09-17,52.78,85.65,27.18
2017-09-18,66.31,102.29,16.29
2017-09-19,87.05,112.21,19.23
2017-09-20,81.53,111.9,24.64
2017-09-21,80.51,76.81,28.99
2017-09-22,80.49,18.59,35.75
2017-09-23,91.14,43.57,63.17
2017-09-24,112.5,81.42,108.57
2017-09-25,53.18,100.02,87.46
2017-09-26,76.88,114.15,98.84
2017-09-27,50.86,125.39,108.16
2017-09-28,90.26,102.91,74.16
2017-09-29,71.25,140.94,58.36
2017-09-30,68.52,125.73,61.2
2017-10-01,57.46,120.56,50.52
2017-10-02,46.54,128.15,31.41
2017-10-03,63.75,127.48,36.84
2017-10-04,67.04,138.81,77.06
2017-10-05,42.33,125.31,89.52
2017-10-06,55.39,111.43,54.04
2017-10-07,70.61,151.15,46.38
2017-10-08,65.04,155.03,42.02
2017-10-09,71.87,173.87,41.72
2017-10-10,73.85,158.68,46.53
2017-10-11,62.71,122.3,51.78
2017-10-12,54.56,186.91,69.1
2017-10-13,52.24,207.87,39.46
2017-10-14,44.65,208.87,60.37
2017-10-15,50.86,195.47,61.1
2017-10-16,76.61,213.98,154.52
2017-10-17,118.88,212.35,133.53
2017-10-18,188.67,204.03,137.82
2017-10-19,147.94,259,144.81
2017-10-20,264.9,387.13,112.82
2017-10-21,157.62,317.52,105.44
2017-10-22,118.74,201.91,98.82
2017-10-23,123.41,242.73,83.34
2017-10-24,176.27,331.64,97.66
2017-10-25,134.15,326.46,159.54
2017-10-26,88.04,290.41,139.05
2017-10-27,87.11,293.68,146.09
2017-10-28,91.81,329.05,163.27
2017-10-29,100.35,300.92,147.82
2017-10-30,82.59,308.22,144.485
2017-10-31,68.08,323.45,141.15
2017-11-01,56.91,265.9,149.12
2017-11-02,57.13,227.41,141.02
2017-11-03,73.54,239.73,126.96
2017-11-04,64.65,292.7,97.93
