Date,Bengaluru,Chennai,Delhi,Lucknow,Hyderabad
2017-01-01,20.13,44.56,191.5,166.35,61.25
2017-01-02,19.61,40.9,247.79,183.84,47.21
2017-01-03,26.66,42.31,255.33,159.29,65.45
2017-01-04,36.93,41.5,248.01,154.3,116.03
2017-01-05,36.09,72.86,215.42,197.95,96.21
2017-01-06,41.53,82.48,194.12,189.36,75.89
2017-01-07,47.48,58.09,154.52,181.88,63.83
2017-01-08,37.61,50.17,136.98,215.86,62.34
2017-01-09,43.11,44.1,141.88,171.95,51.67
2017-01-10,74.1,293.43,108.26,115.7,61.42
2017-01-11,42.42,55.2,146.04,109.72,82.34
2017-01-12,24.26,169.75,216.73,145.41,115.47
2017-01-13,31.22,144.02,232.37,222.28,108.41
2017-01-14,29.21,69.97,309.28,256.58,73.75
2017-01-15,26.3,55.97,222.66,272.01,81.72
2017-01-16,31.65,62.53,188.08,336.07,83.39
2017-01-17,37.02,80.76,177.67,240.42,64.14
2017-01-18,39.68,55.43,218.63,222.17,54.56
2017-01-19,31.59,50.27,227.68,245.59,67.09
2017-01-20,39.92,64.06,217.55,132.55,76.51
2017-01-21,40.34,36.85,349.98,143.2,69.51
2017-01-22,44.895,57.05,286.6,211.77,60.61
2017-01-23,49.45,73.27,189.45,153.33,83.79
2017-01-24,41.55,56.51,230.94,158.46,71.49
2017-01-25,34.96,66.54,241.78,222.64,76.94
2017-01-26,27.04,43.6,135.87,198.86,64.21
2017-01-27,23.36,36.16,74.92,70.65,56.14
2017-01-28,10.26,21.64,109.13,61.96,68.79
2017-01-29,6.8,36.77,132.35,81.64,85.73
2017-01-30,31.79,38.73,166.71,116.04,62.96
2017-01-31,37.81,100.68,214.23,179.6,54.98
2017-02-01,27.42,45.13,136.02,175.53,44.56
2017-02-02,49.35,52.59,198.24,207.97,52.36
2017-02-03,32.16,50.38,194.99,172.73,58.81
2017-02-04,32.08,67.15,186.65,161.52,68.29
2017-02-05,29.93,77.17,146.49,89.37,56.73
2017-02-06,32.73,72.94,176.04,108.07,64.14
2017-02-07,43.1,83.86,77.85,88.79,93.54
2017-02-08,41.94,80.59,129.1,95.98,83.13
2017-02-09,38.04,91.75,133.12,118.4,70.3
2017-02-10,36.09,89,120.43,112.25,64.97
2017-02-11,29.54,84.05,129.09,153.45,41.77
