Date,Bengaluru,Chennai,Delhi,Lucknow,Hyderabad,Patna
2017-09-26,4.76,18.8,7.13,4.79,7.2,7.53
2017-09-27,6.16,25.33,6.62,6.4,6.41,11.56
2017-09-28,4.63,21.76,6.08,7.7,5.29,11.76
2017-09-29,5.13,50.51,7.17,6.95,4.87,4.2
2017-09-30,5.74,22.92,6.64,7.67,5.4,6.25
2017-10-01,4.53,11.61,3.46,6.78,5.12,6.12
2017-10-02,5.64,8.99,2.94,8.56,3.37,5.52
2017-10-03,4.49,19.68,5.81,8.82,6.88,3.5
2017-10-04,5.36,21.41,11.7,7.04,10.46,3.45
2017-10-05,5.07,16.78,11.96,7.37,8.94,5.08
2017-10-06,5.66,12.15,13.91,7.04,5.7,5.25
2017-10-07,4.55,10.46,22.29,6.75,7.36,6.72
2017-10-08,4.22,10.51,24,6.95,19.21,9.34
2017-10-09,5.2,14.28,23.51,7.04,4.24,7.14
2017-10-10,3.93,5.18,7.6,8.1,8.63,5.83
2017-10-11,4.38,7.64,6.57,5.91,4.3,9.59
2017-10-12,4.2,3.49,7.65,6.5,4.2,9.64
2017-10-13,4.49,14.37,9.36,5.6,2.36,12.06
2017-10-14,4.64,13.82,14.64,5.22,2.46,12.71
2017-10-15,4.22,11.79,14.31,7.14,4.4,14.06
2017-10-16,4.05,10.98,23.09,11.86,18.9,12.86
2017-10-17,4.37,9.8,17.44,17.23,11.19,7.53
2017-10-18,4.81,22.85,27.42,21.34,4.82,6.95
2017-10-19,4.39,25.11,22.15,31.73,5.43,15.41
2017-10-20,5.88,8.8,36.85,15.66,2.02,9.8
2017-10-21,5.69,7.05,20.55,15.55,10.49,9.83
2017-10-22,5.32,10.8,24.42,19.69,3.29,10.24
2017-10-23,5.39,10.73,27.79,23.36,5.28,10.65
2017-10-24,5.62,11.09,23.19,21.03,5.02,12.57
2017-10-25,4.42,11.24,23.77,26.05,9.07,13.47
2017-10-26,4.26,17.26,24.12,26.34,6.6,9.57
2017-10-27,4.26,6.78,21.24,19.57,13.15,7.66
2017-10-28,4.97,11.79,27.88,19.45,11.15,21.46
2017-10-29,4.3,11.68,25.08,14.33,7.7,10.6
2017-10-30,3.71,9.51,23.68,10.32,12.245,3.32
2017-10-31,3.6,11.69,19.36,10.32,16.79,8.42
2017-11-01,2.66,17.43,16.01,7.29,14.94,7.82
2017-11-02,4.15,14.51,17.19,7.06,17.59,7.22
2017-11-03,5.08,10.59,15.29,6.81,20.33,14.81
2017-11-04,3.3,6.35,18.87,7.25,13.5,18.5
2017-11-05,3.33,6.55,19.55,8.52,13.78,20.26
2017-11-06,3.15,11.84,18.74,9.71,15.11,21.96
2017-11-07,3.51,13.26,15.29,10.21,11.95,19.8
2017-11-08,2.98,13.02,20.46,9.79,17.4,24.95
2017-11-09,3.26,13.05,15.68,9.39,16.53,20.66
2017-11-10,2.76,10.05,17.84,8.94,22.05,21.41
2017-11-11,3.99,12.95,17.8,10.15,27.55,26.09
2017-11-12,3.85,16.59,13.94,10.89,21.15,23.98
2017-11-13,3.68,11.35,15.58,10.83,17.25,21.17
2017-11-14,4.15,8.2,13.67,10.19,20.01,21.39
2017-11-15,3.88,10.74,19.24,9.5,16.76,20.43
2017-11-16,4.34,12.58,22.89,9.39,13.31,21.61
2017-11-17,3.97,12.15,16.32,8.03,14.81,22.51
2017-11-18,3.59,13.45,13.3,9.27,11.42,22.27
2017-11-19,3.76,12.77,15.12,24.02,10.46,26.1
2017-11-20,3.59,11.02,13.7,13.4,10.05,24.59
2017-11-21,3.83,12.9,15.02,6.62,8.34,19.85
2017-11-22,3.36,12.47,18.13,8.11,14.21,20.66
2017-11-23,4.05,12.8,18.32,8.36,18.61,21.75
2017-11-24,3.89,15.48,19.2,9.02,12.78,18.99
2017-11-25,3.81,15.29,17.95,11.13,13.35,20.99
2017-11-26,3.75,11.31,21.01,11.19,10.47,29.86
2017-11-27,3.82,15.38,18.95,12.16,15.16,20.68
2017-11-28,3.95,19.09,19.39,8.69,16.7,22.84
2017-11-29,3.99,11.66,20.1,10.96,15,17.53
2017-11-30,4.12,8.83,16.83,8.59,14.09,16.88
2017-12-01,3.23,9.32,17.59,8.26,14.25,20.61
2017-12-02,2.98,11.23,20.17,8.96,10.97,28.35
2017-12-03,2.16,14.78,19.92,8.77,9.54,23.45
2017-12-04,2.58,20.97,20.17,9.54,12.21,24.46
2017-12-05,3.02,10.72,18.29,10.58,13.2,26.59
2017-12-06,4.86,14.01,20.88,11.95,13.15,25.24
2017-12-07,4.42,17.67,18.17,8.77,16.11,20.03
2017-12-08,4.75,14.6,21.69,13.25,24.61,16.82
2017-12-09,4.86,12.04,24.22,15.34,19.03,20.24
2017-12-10,4.96,9.89,25.97,13.86,22.76,58.61
2017-12-11,4.41,7.67,24.39,10.23,22.48,37.5
2017-12-12,3.84,6.1,11.71,10.5,12.94,30.54
2017-12-13,3.72,9.12,10.81,8.87,8.51,38.42
2017-12-14,3.71,13.19,11.18,8.43,7.88,59.67
2017-12-15,2.87,11.93,9.69,11.8,7.52,46.3
2017-12-16,3.2,7.92,4.98,8.63,8.56,39.91
2017-12-17,3.56,8.69,12.68,10.49,12.3,38.89
2017-12-18,3.66,8.65,16.97,9.83,22.04,34.58
2017-12-19,3.71,21.79,23.03,10.93,24.06,54.94
2017-12-20,6.38,11.48,25,13.64,21.88,51.15
2017-12-21,5.76,10.75,22.54,12.24,16.67,46.2
2017-12-22,3.32,13.33,20.47,11.66,16.21,45.23
2017-12-23,3.55,13.21,19.95,9.16,15.01,50.93
2017-12-24,2.29,15.53,23.73,8.54,10.11,54.55
2017-12-25,2.78,8.9,23.76,7.07,8.51,39.37
2017-12-26,2.72,14.59,22.1,8.41,18.35,41.33
2017-12-27,3.4,13.05,23.17,8.66,16.26,34.09
2017-12-28,3.38,11.39,25.51,9.5,14.18,33.04
2017-12-29,3.6,12.13,25.54,10.19,10.66,34.99
2017-12-30,3.26,8.92,21.01,7.24,9.62,37.05
2017-12-31,2.95,6.62,17.97,7.64,8.17,53.72
2018-01-01,3.2,6,18.58,6.89,11.25,51.63
2018-01-02,3.37,8.23,12.43,8.56,9.44,36.7
2018-01-03,2.8,12.77,10.28,7.57,10.52,49.93
2018-01-04,3.32,11.75,14.42,7.77,17.34,42.33
2018-01-05,5.34,16.44,13.2,9.07,15.67,30.81
2018-01-06,4.28,29.31,18.15,8.87,12.81,39.19
2018-01-07,3.37,17.55,16.27,8.86,11.62,56.84
2018-01-08,4.26,14.31,17.15,9.17,9.28,61.32
2018-01-09,16.6,20.33,21.82,8.57,10.51,52.83
2018-01-10,3.16,10.64,18.98,8.8,12.71,45.91
2018-01-11,4.91,11.52,17.4,9.82,17.13,66.87
2018-01-12,5.74,12.57,24.03,9.29,17.29,70.52
2018-01-13,3.51,19.38,24.28,10.86,20.89,50.29
2018-01-14,3.2,20.61,22.47,9.76,13.76,44.99
2018-01-15,3.35,13.78,19.12,8.7,7.43,53.83
2018-01-16,3.47,12.31,19.06,9.81,9.12,59.01
2018-01-17,3.58,26.45,14.48,10.82,10.5,49.61
2018-01-18,3.66,23.22,21.02,9.9,13.02,43.97
2018-01-19,4.22,29.85,22.27,9.96,17.29,45.92
2018-01-20,4.32,34.03,14.45,10.46,23.32,47.9
2018-01-21,3.97,33.72,16.91,9.56,13.76,47.68
2018-01-22,4.24,13.69,21.64,8.87,9.28,49.05
2018-01-23,4.59,9.92,14.25,9.71,6.93,47.83
2018-01-24,4.59,12.56,11.9,10.27,9.52,49.66
2018-01-25,4.19,9.64,6.84,8.1,16.47,50.08
2018-01-26,4.24,6.7,7.99,8.58,19.6,48.81
2018-01-27,4.21,7.26,7.94,9.7,13.62,45.88
2018-01-28,4.28,6.72,10.26,8.36,9.02,29.76
2018-01-29,4.17,8.17,12.61,9.83,8.69,31.86
2018-01-30,3.89,11.98,14.47,7.78,16.9,35.29
2018-01-31,4.07,17.29,11.35,8.44,20.33,37.73
2018-02-01,5.01,14.37,18.67,8.27,22.37,33.66
2018-02-02,4.38,8.5,12.25,9.1,16.85,37.48
2018-02-03,6.48,6.93,14.2,12.83,9.51,39.67
2018-02-04,12.74,5.65,13.2,9.75,9.46,34.47
2018-02-05,3.37,6.64,14.77,10.79,8.16,34.57
2018-02-06,3.52,8.16,14.94,11.05,9.68,36.39
2018-02-07,3.22,6.16,14.58,9.24,13.6,36.33
2018-02-08,4.2,6.61,13.8,12.08,13.52,28.47
2018-02-09,4.36,5.6,14.35,14.02,13.92,37.08
2018-02-10,6.63,6.64,13.77,13.01,13.07,39.86
2018-02-11,3.42,6.47,14.45,13.29,8.55,38.42
2018-02-12,2.99,5.97,8.58,12.54,6.61,32.37
2018-02-13,1.84,7.42,10.25,12.22,6.53,36.21
2018-02-14,1.61,7.06,9.03,10.56,8.3,30.96
2018-02-15,1.47,11.88,11.47,13.72,12.88,37.8
2018-02-16,2.79,9.95,12.49,15.47,17.02,33.92
2018-02-17,8.54,7.69,15.01,15.7,20.36,35.52
2018-02-18,5.69,8.49,12.17,15.42,10.27,54.87
2018-02-19,4.22,9.71,15.25,15.91,7.39,50.76
2018-02-20,3.15,9.94,14.53,19.75,6.36,42.64
2018-02-21,3.36,10.16,13.97,19.24,7.37,39.32
2018-02-22,3.19,10.97,15.89,20.89,8.69,38.02
2018-02-23,2.94,8.95,16.26,21.32,8.18,38.49
2018-02-24,2.35,9.72,15.09,21.7,8.22,37.43
2018-02-25,2.34,12.04,14.34,14.64,7.54,38.53
2018-02-26,2.61,12.92,9.64,11.36,9.89,27.21
2018-02-27,3.87,10.04,10.72,13.5,14.95,35.57
2018-02-28,3.4,9.39,14.52,13.53,12.91,33.35
2018-03-01,3.09,10.14,14.9,12.12,11.14,42.83
2018-03-02,3.53,9.72,11.52,13.04,10.18,33.4
2018-03-03,3.14,10.37,12.93,12.7,9.79,39.98
2018-03-04,4.2,9.28,12.95,11.9,9.17,39.26
2018-03-05,3.71,7.71,12.7,11.02,8.88,35.41
2018-03-06,3.85,8.42,12.99,12.26,9.83,36.22
2018-03-07,3.83,5.79,13.23,13.33,7.58,35.5
2018-03-08,3.66,9.39,16.98,15.43,7.22,37.06
2018-03-09,4.07,7.73,18.68,15.73,6.03,42.15
2018-03-10,4.18,7.81,14.8,14.59,7.24,38.04
2018-03-11,3.7,12.98,15.41,18.02,6.94,34.89
2018-03-12,4.01,12.55,17.48,15.34,5.14,37.91
2018-03-13,4.08,7.09,17.22,15.46,5.62,36.91
2018-03-14,4.17,7.06,17.39,18.86,7.43,45.05
2018-03-15,3.95,7.31,16.08,20.64,8.79,44.85
2018-03-16,3.88,5.73,16.61,15.59,14.59,41.25
2018-03-17,4.27,8.57,13.63,13.7,5.86,48.51
