Date,Ahmedabad,Bengaluru,Chennai,Delhi,Lucknow,Mumbai,Hyderabad,Patna,Gurugram,Visakhapatnam,Amritsar,Jaipur,Thiruvananthapuram,Amaravati
2017-07-01,,0.0,11.51,9.35,,,6.83,,,0.0,,,3.84,
2017-07-02,,0.0,13.05,4.19,,,6.08,,,0.0,,,2.57,
2017-07-03,,0.0,9.05,5.17,,,9.32,,,0.0,,,3.51,
2017-07-04,,0.0,10.41,4.82,,,6.56,,,0.0,,,5.3,
2017-07-05,,0.0,20.49,5.05,,,6.43,,,0.0,,,4.38,
2017-07-06,,0.0,12.38,4.13,,,6.91,,,0.0,,,3.99,
2017-07-07,,0.0,12.27,5.09,,,7.86,,,0.0,,,4.69,
2017-07-08,,0.0,6.29,6.01,,,7.12,,,0.0,,,6.0,
2017-07-09,,0.0,8.07,10.42,,,6.92,,,0.0,,,4.3,
2017-07-10,,0.0,10.63,4.9,,,7.62,,,0.0,,,5.31,
2017-07-11,,0.0,10.51,5.01,,,7.71,,,0.0,,,4.21,
2017-07-12,,0.0,12.96,4.81,,,7.23,,,0.0,,,5.55,
2017-07-13,,0.0,13.05,4.86,,,6.55,,,0.0,,,4.69,
2017-07-14,,0.0,13.05,5.65,,,6.99,,,0.0,,,5.3,
2017-07-15,,0.0,14.42,9.24,,,6.15,,,0.0,,,5.4,
2017-07-16,,0.0,12.92,8.39,,,4.41,,,0.0,,,4.42,
2017-07-17,,0.0,12.24,11.38,,,5.95,,,0.0,,,4.83,
2017-07-18,,0.0,12.75,14.1,,,4.97,,,0.0,,,4.59,
2017-07-19,,0.0,9.95,19.34,,,5.52,,,0.0,,,4.04,
2017-07-20,,0.0,10.78,11.02,,,4.58,,,0.0,,,3.72,
2017-07-21,,0.0,11.26,4.69,,,4.57,,,0.0,,,3.79,
2017-07-22,,0.0,10.99,4.52,,,4.21,,,0.0,,,4.513333333333334,
2017-07-23,,0.0,10.01,3.76,,,5.1,,,0.0,,,5.236666666666667,
2017-07-24,,0.0,10.46,5.21,,,5.46,,,0.0,,,5.96,
2017-07-25,,0.0,10.62,3.98,,,5.85,,,0.0,,,4.93,
2017-07-26,,0.0,11.17,4.61,,,5.39,,,0.0,,,6.05,
2017-07-27,,0.0,9.5,5.12,,,5.99,,,0.0,,,4.91,
2017-07-28,,0.0,8.74,4.84,,,7.7,,,0.0,,,5.1,
2017-07-29,,0.0,8.75,3.3,,,8.08,,,0.0,,,4.39,
2017-07-30,,0.0,8.58,3.53,,,9.26,,,0.0,,,3.14,
2017-07-31,,0.0,8.75,5.91,,,10.08,,,0.0,,,5.11,
2017-08-01,,0.0,8.51,5.48,,,8.77,,,0.0,,,4.17,
2017-08-02,,0.0,8.56,6.7,,,5.93,,,0.0,,,5.56,
2017-08-03,,0.0,8.58,7.02,,,4.8,,,0.0,,,4.62,
2017-08-04,,0.0,8.63,7.71,,,8.43,,,0.0,,,5.29,
2017-08-05,,0.0,8.58,8.68,,,8.91,,,0.0,,,5.1,
2017-08-06,,0.0,8.74,10.21,,,9.57,,,0.0,,,4.5,
2017-08-07,,0.0,9.07,5.84,,,9.62,,,0.0,,,6.14,
2017-08-08,,0.0,8.97,7.08,,,8.13,,,0.0,,,4.9,
2017-08-09,,0.0,9.01,11.34,,,6.94,,,0.0,,,5.66,
2017-08-10,,0.0,9.05,10.31,,,5.8,,,0.0,,,5.45,
2017-08-11,,0.0,9.05,4.87,,,9.04,,,0.0,,,4.84,
2017-08-12,,0.0,8.88,0.0,,,8.64,,,0.0,,,5.44,
2017-08-13,,0.0,8.55,0.0,,,9.5,,,0.0,,,4.78,
2017-08-14,,0.0,8.15,6.42,,,7.96,,,0.0,,,5.69,
2017-08-15,,0.0,7.03,6.85,,,8.5,,,0.0,,,4.91,
2017-08-16,,0.0,6.92,7.81,,,6.88,,,0.0,,,4.57,
2017-08-17,,0.0,6.96,8.36,,,7.23,,,0.0,,,5.28,
2017-08-18,,0.0,6.9425,8.16,,,7.37,,,0.0,,,4.69,
2017-08-19,,0.0,6.925,10.06,,,5.8,,,0.0,,,4.97,
2017-08-20,,0.0,6.9075,7.46,,,5.15,,,0.0,,,4.46,
2017-08-21,,0.0,6.89,1.44,,,5.21,,,0.0,,,4.69,
2017-08-22,,0.0,9.64,0.25,,,8.15,,,0.0,,,4.05,
2017-08-23,,0.0,11.02,4.7,,,7.95,,,0.0,,,4.77,
2017-08-24,,0.0,7.23,6.63,,,7.09,,,0.0,,,5.05,
2017-08-25,,0.0,7.78,3.85,,,6.48,,,0.0,,,4.61,
2017-08-26,,0.0,8.9,2.06,,,6.55,,,0.0,,,4.1,
2017-08-27,,0.0,7.65,4.55,,,5.99,,,0.0,,,4.05,
2017-08-28,,0.0,7.57,2.43,,,5.48,,,0.0,,,4.92,
2017-08-29,,0.0,8.38,4.74,,,5.74,,,0.0,,,5.13,
2017-08-30,,0.0,7.72,7.26,,,5.8,,,0.0,,,5.37,
2017-08-31,,0.0,9.47,28.34,,,7.37,,,0.0,,,5.01,
2017-09-01,,0.0,9.09,12.21,,,7.62,,,0.0,,,3.8,
2017-09-02,,0.0,8.56,10.33,,,9.59,,,0.0,,,4.33,
2017-09-03,,0.0,10.15,8.88,,,6.23,,,0.0,,,4.46,
2017-09-04,,0.0,9.59,11.14,,,7.97,,,0.0,,,3.49,
2017-09-05,,0.0,6.2,8.93,,,6.99,,,0.0,,,3.82,
2017-09-06,,0.0,7.4,9.89,,,8.58,,,0.0,,,3.24,
2017-09-07,,0.0,7.33,7.9,,,10.17,,,0.0,,,5.45,
2017-09-08,,0.0,6.99,9.84,,,8.14,,,0.0,,,4.46,
2017-09-09,,0.0,6.99,11.27,,,6.52,,,0.0,,,4.96,
2017-09-10,,0.0,6.96,14.83,,,6.21,,,0.0,,,3.71,
2017-09-11,,0.0,7.2,12.0,,,8.43,,,0.0,,,4.3,
2017-09-12,,0.0,9.21,10.14,,,7.46,,,0.0,,,3.7,
2017-09-13,,0.0,7.33,5.71,,,7.56,,,0.0,,,4.38,
2017-09-14,,0.0,6.96,10.24,,,7.61,,,0.0,,,4.29,
2017-09-15,,0.0,7.66,12.73,,,7.29,,,0.0,,,5.22,
2017-09-16,,0.0,7.68,14.42,,,6.37,,,0.0,,,4.12,
2017-09-17,,0.0,8.63,13.49,,,4.23,,,0.0,,,4.06,
2017-09-18,,0.0,8.21,11.54,,,5.36,,,0.0,,,4.4,
2017-09-19,,0.0,8.6,16.17,,,5.22,,,0.0,,,3.51,
2017-09-20,,0.0,4.94,21.37,,,5.52,,,0.0,,,4.04,
2017-09-21,,0.0,7.97,16.34,,,5.8,,,0.0,,,4.24,
2017-09-22,,0.0,7.93,11.24,,,8.05,,,0.0,,,5.36,
2017-09-23,,0.0,6.66,12.97,,,12.7,,,0.0,,,4.67,
2017-09-24,,0.0,10.32,12.69,,,16.16,,,0.0,,,4.39,
2017-09-25,,0.0,29.32,13.13,,,12.1,,,0.0,,,5.39,
2017-09-26,,0.0,21.45,18.35,16.98,,10.8,17.82,22.96,0.0,,,6.33,
2017-09-27,,0.0,22.68,22.31,17.41,,11.18,92.27,23.254,0.0,,,5.17,
2017-09-28,,0.0,22.24,23.52,26.17,,12.51,30.76,23.548,0.0,,,6.06,
2017-09-29,,0.0,15.0,18.61,33.63,,10.13,16.6,23.842,0.0,,,4.98,
2017-09-30,,0.0,14.75,8.59,28.62,,8.92,13.35,24.136000000000003,0.0,,,3.89,
2017-10-01,,1.37,12.04,14.66,16.22,,2.95,19.34,24.43,0.05,,,1.0,
2017-10-02,,1.8,9.25,12.1,22.14,,4.8,19.88,24.99,0.07,,,0.48,
2017-10-03,,1.81,9.16,11.47,32.38,,9.81,39.73,23.46,0.05,,,0.83,
2017-10-04,,7.5,11.83,14.09,23.2,,11.72,45.4,23.75,0.11,23.64,51.05,0.97,
2017-10-05,,21.6,13.9,13.8,36.06,,11.45,41.89,20.05,0.03,22.92,35.78,1.18,
2017-10-06,,17.21,14.66,12.19,31.85,,8.09,42.64,16.21,0.04,23.09,40.28,0.68,
2017-10-07,,17.23,12.3,14.27,37.13,,12.33,23.05,16.01,0.06,34.88,35.25,1.56,
2017-10-08,,14.42,12.53,14.05,31.31,,10.59,40.39,20.5,0.03,32.49,34.28,0.99,
2017-10-09,,15.19,18.35,17.82,35.01,,6.49,35.55,16.0,0.04,33.6,35.86,1.8,
2017-10-10,45.75,14.78,12.65,13.81,41.09,,6.08,40.18,17.215,0.0,35.61,37.68,0.0,
2017-10-11,36.6,17.4,14.11,14.22,22.52,,4.63,109.78,18.43,0.0,39.8,31.06,0.0,
2017-10-12,,16.24,16.1,12.39,29.05,,5.04,28.26,21.51,0.0,38.87,27.22,0.0,
2017-10-13,,16.58,20.74,14.41,46.9,,3.15,25.66,,0.0,39.54,33.94,0.0,
2017-10-14,,15.1,17.57,23.78,29.84,,3.74,19.4,,0.0,42.91,40.95,0.0,
2017-10-15,,18.62,16.49,15.25,41.41,,3.41,47.92,,0.0,31.23,66.35,0.0,
2017-10-16,,15.09,18.07,40.14,65.79,,3.45,39.43,,0.0,40.11,90.36,0.0,
2017-10-17,,21.29,23.85,49.91,57.02,,4.69,44.39,,0.0,43.07,72.9,0.0,
2017-10-18,75.0,23.66,26.48,55.52,71.46,,5.58,44.95,,0.0,47.35,37.33,0.0,
2017-10-19,75.65,21.72,27.96,53.32,33.42,,10.71,33.57,23.17,0.13,55.06,31.03,2.91,
2017-10-20,76.3,22.47,14.79,47.28,29.91,,3.38,42.2,33.09,0.0,70.05,34.68,0.1,
2017-10-21,46.52,16.86,14.83,49.3,25.23,,5.46,29.46,24.04,0.03,44.81,39.87,0.6,
2017-10-22,28.25,14.94,14.45,31.89,56.2,,2.55,60.74,28.465,0.0,49.29,46.75,0.0,
2017-10-23,34.62,17.72,16.93,63.05,84.66,,5.48,92.02,32.89,0.12,60.52,25.84,1.41,
2017-10-24,37.53,25.27,16.04,87.22,70.3,,2.17,91.32,44.54,0.0,59.6,36.92,0.1,
2017-10-25,89.33,26.42,16.63,57.55,84.92,,1.55,72.98,,0.0,73.42,60.91,0.0,
2017-10-26,141.28,22.64,18.49,63.21,108.75,,1.84,40.44,,0.0,60.05,38.37,0.0,
2017-10-27,121.9,19.54,16.51,52.4,98.16,,2.33,41.76,,0.0,48.88,47.29,0.13,
2017-10-28,118.1,22.25,15.98,60.5,113.9,,2.4,94.11,,0.0,54.81,66.65,0.0,
2017-10-29,108.3,21.46,14.75,57.94,45.39,,4.19,55.14,,0.0,53.78,45.42,0.0,
2017-10-30,61.695,16.63,16.25,64.94,55.14,,0.0,69.64,,0.0,54.62,37.63,0.0,
2017-10-31,15.09,24.36,14.16,75.68,62.96,,32.64,29.03,27.22,0.21,62.18,48.24,5.92,
2017-11-01,0.0,47.53,9.72,43.9,36.76,,36.6,0.0,20.94,0.17,56.94,90.2,5.43,
2017-11-02,0.0,50.52,10.8,56.86,44.44,,27.41,26.02,21.23,0.14,46.39,112.11,6.32,
2017-11-03,66.67,62.33,13.65,60.96,46.54,,27.54,67.76,25.86,0.09,37.73,66.96,7.04,
2017-11-04,59.61,27.96,18.14,74.75,52.5,,23.05,122.4,24.26,0.14,53.81,28.03,6.78,
2017-11-05,53.51,23.52,11.65,97.76,66.41,,19.93,84.83,29.6,0.15,23.24,41.78,5.13,
2017-11-06,67.88,22.24,15.71,96.0,60.42,,25.12,63.09,27.26,1.65,59.61,90.88,7.88,
2017-11-07,85.13,25.13,20.32,103.77,58.14,,29.83,58.85,26.17,4.45,36.48,92.25,7.73,
2017-11-08,98.51,25.46,14.1,104.65,66.12,,24.69,84.36,24.91,11.07,54.2,80.23,9.29,
2017-11-09,87.41,26.42,14.27,104.52,82.14,,25.68,79.33,27.95,12.03,60.07,107.75,7.43,
2017-11-10,87.55,20.93,15.3,109.98,63.79,,27.05,203.0,26.02,4.18,56.14,93.27,8.01,
2017-11-11,90.69,24.53,13.12,117.92,44.84,,29.64,132.18,27.05,0.81,67.76,85.19,6.76,
2017-11-12,83.49,24.2,11.81,104.82,30.59,,29.99,70.91,23.03,0.0,89.17,94.28,7.04,
2017-11-13,121.12,22.14,19.88,105.48,76.25,,27.59,114.74,25.75,2.73,76.63,95.44,9.57,
2017-11-14,159.36,20.53,19.35,75.36,116.02,,28.97,166.51,20.02,12.06,59.94,28.69,9.06,
2017-11-15,48.57,17.34,28.29,79.14,69.47,,25.3,78.83,19.37,12.59,59.36,23.64,8.28,
2017-11-16,15.88,23.09,31.03,82.34,70.19,,27.1,50.08,19.9,11.94,100.36,21.08,9.24,
