Date,Ahmedabad,Bengaluru,Chennai,Delhi,Lucknow,Hyderabad,Patna,Gurugram,Visakhapatnam,Amritsar,Jorapokhar,Jaipur,Thiruvananthapuram,Amaravati
2017-07-01,,11.34,24.55,,19.08,32.5,,17.05,,12.36,9.446666666666667,1.35,13.63,
2017-07-02,,10.47,34.7,,21.33,31.55,,17.83,,6.43,9.883333333333336,1.2,14.29,
2017-07-03,,10.21,26.47,,26.4,32.11,,22.87,,9.21,10.32,1.17,21.13,
2017-07-04,,9.67,10.34,,22.26,29.3,,16.7,,6.62,3.54,1.21,19.87,
2017-07-05,,8.98,23.07,,22.87,30.35,,15.97,,12.2,7.86,1.27,19.37,
2017-07-06,,9.26,24.43,,14.5,29.56,,17.69,,5.68,6.12,1.17,18.33,
2017-07-07,,12.39,29.22,,13.87,30.48,,18.06,,6.84,4.38,1.22,16.48,
2017-07-08,,9.39,14.07,,13.64,34.11,,22.11,,6.66,2.695,1.34,16.13,
2017-07-09,,9.34,25.97,,13.79,32.87,,12.89,,9.9,1.01,1.7,18.74,
2017-07-10,,10.61,28.01,,12.47,29.39,,9.91,,13.14,5.47,1.83,17.31,
2017-07-11,,12.44,23.74,,13.01,26.9,,15.51,,8.84,2.48,2.18,16.83,
2017-07-12,,18.42,15.57,,13.23,29.41,,8.85,,6.22,2.75,1.54,15.24,
2017-07-13,,24.82,17.01,,16.19,28.55,,23.56,,7.82,11.084,1.35,15.47,
2017-07-14,,47.62,19.64,,18.06,27.6,,51.31,,6.46,19.418,1.23,16.82,
2017-07-15,,47.14,22.59,,14.93,29.24,,51.77,,10.05,27.752,1.85,16.23,
2017-07-16,,23.82,18.16,,19.58,34.63,,58.72,,6.79,36.086,1.93,15.52,
2017-07-17,,44.94,17.79,,15.33,31.84,,45.46,,12.17,44.42,1.47,14.89,
2017-07-18,,27.09,18.01,,15.11,26.27,,61.17,,6.09,6.81,1.2,14.13,
2017-07-19,,30.16,20.05,,11.18,25.0,,47.54,,6.6,2.56,1.52,14.04,
2017-07-20,,54.5,24.56,,9.69,26.17,,8.18,,7.06,2.7816666666666667,1.11,12.35,
2017-07-21,,41.97,20.82,,9.71,28.25,,7.8,,7.0,3.0033333333333334,27.07,14.18,
2017-07-22,,53.85,21.32,,10.49,29.49,,8.25,,7.66,3.225,27.04,15.343333333333334,
2017-07-23,,24.37,27.78,,14.95,31.42,,7.55,,8.39,3.4466666666666668,29.35,16.506666666666668,
2017-07-24,,42.69,22.76,,12.65,29.9,,17.32,,8.72,3.668333333333333,29.0,17.67,
2017-07-25,,50.04,19.56,,10.83,25.83,,27.7,,8.18,3.89,24.2,17.05,
2017-07-26,,51.12,19.21,,10.83,28.42,,31.42,,4.59,,27.41,16.17,
2017-07-27,,55.9,23.46,,13.47,28.62,,30.62,,5.83,,39.14,14.58,
2017-07-28,,51.05,36.31,,13.69,26.67,,31.55,,7.07,,37.46,17.67,
2017-07-29,,56.82,22.94,,10.35,29.08,,38.82,,8.31,,28.74333333333333,19.56,
2017-07-30,,23.6,32.14,,10.78,27.97,,30.09,,21.2,,20.026666666666664,18.43,
2017-07-31,,45.36,30.77,,10.29,28.83,,14.27,,6.55,,11.31,12.89,
2017-08-01,,54.93,45.06,,10.84,27.81,,18.17,,6.55,14.42,11.12,17.21,
2017-08-02,,41.25,30.2,,9.17,26.03,,23.79,,,3.52,15.54,14.17,
2017-08-03,,39.16,29.56,,8.33,22.38,,20.05,,,,16.37,14.65,
2017-08-04,,25.85,23.14,,27.11,24.55,,21.38,,,,24.42,13.62,
2017-08-05,,30.04,31.21,,38.87,27.34,,33.9,,,,15.58,14.84,
2017-08-06,,6.06,50.34,,27.85,28.27,,11.35,,,,17.93,16.75,
2017-08-07,,54.59,15.12,,11.44,25.05,,11.926666666666666,,,,18.09,15.6,
2017-08-08,,48.17,43.31,,8.35,24.75,,12.503333333333332,,7.36,,17.38,18.68,
2017-08-09,,33.6,39.0,,7.31,25.82,,13.08,,11.345,,17.53,16.63,
2017-08-10,,9.71,13.38,,6.31,23.33,,26.24,,15.33,,18.32,17.88,
2017-08-11,,16.65,27.68,,8.05,32.72,,24.16,,13.05,,20.42,18.51,
2017-08-12,,18.87,18.79,,10.19,32.06,,19.9,,8.1,,22.36,22.88,
2017-08-13,,23.74,19.55,,8.89,26.67,,30.96,,7.06,,24.65,21.49,
2017-08-14,,26.54,18.83,,9.1,29.5,,25.89,,8.2,,22.28,8.0,
2017-08-15,,7.35,14.91,,9.68,28.81,,32.28,,8.14,,23.83,20.27,
2017-08-16,,20.51,19.78,,6.52,32.41,,44.45,,15.03,,24.37,13.81,
2017-08-17,,21.86,14.83,,5.69,32.76,,34.76,,12.63,,24.732,21.56,
2017-08-18,,21.39,14.8375,,5.22,29.62,,38.85,,8.45,,25.094,19.78,
2017-08-19,,20.13,14.845,,11.1,32.33,,29.56,,6.39,,25.456,13.21,
2017-08-20,,11.17,14.8525,,8.87,37.5,,42.63,,6.93,,25.817999999999994,16.58,
2017-08-21,,16.04,14.86,,13.03,38.36,,30.77,,7.43,,26.18,16.88,
2017-08-22,,20.89,13.04,,14.16,31.68,,37.33,,7.32,,25.1,13.82,
2017-08-23,,27.15,14.83,,8.38,31.8,,19.78,,11.8,,21.75,6.26,
2017-08-24,,21.84,13.46,,12.04,31.39,,36.38,,10.72,,20.05,27.62,
2017-08-25,,19.86,13.89,,11.49,33.12,,44.42,,10.34,,18.91,7.17,
2017-08-26,,19.83,16.03,,12.11,31.66,,39.49,,8.18,,21.13,3.95,
2017-08-27,,7.65,17.52,,13.56,30.92,,50.84,,10.49,,22.05,2.62,
2017-08-28,,13.12,28.73,13.61,13.54,31.84,,17.97,,8.66,,20.16,4.14,
2017-08-29,,14.98,33.28,18.33333333333333,18.2,35.24,,29.91,,7.79,,20.25,3.7,
2017-08-30,,16.33,29.77,23.056666666666665,26.77,32.5,,30.46,,9.76,,36.12,5.1,
2017-08-31,,24.66,40.89,27.78,19.36,30.67,,18.97,,8.4,,172.28,7.45,
2017-09-01,,13.48,35.94,24.03,18.1,35.74,,12.36,,5.76,,109.72,7.69,
2017-09-02,,15.86,33.32,25.0,18.2,32.11,,12.16,,7.36,,112.46,7.59,
2017-09-03,,29.74,45.44,25.07,14.84,33.41,,11.25,,9.65,,18.08,7.61,
2017-09-04,,23.83,52.5,24.93,14.14,33.5,,13.92,,7.46,,22.85,7.71,
2017-09-05,,23.99,57.04,25.08,14.73,41.28,,13.67,,9.71,,22.04,7.6,
2017-09-06,,27.63,50.32,24.95,18.19,24.76,,12.08,,10.56,,19.97,7.6,
2017-09-07,,12.5,33.91,24.93,15.15,32.88,,12.97,,9.02,,17.19,7.75,
2017-09-08,,34.54,19.78,25.88,20.56,39.66,,17.47,,10.01,,16.84,7.71,
2017-09-09,,15.06,23.26,25.77,19.36,41.62,,20.76,,5.57,,25.456666666666663,7.7,
2017-09-10,,9.66,33.22,26.39,30.02,31.82,,17.71,,1.31,,34.07333333333333,7.7,
