Date,Bengaluru,Delhi,Hyderabad,Visakhapatnam,Amritsar,Jorapokhar,Jaipur,Thiruvananthapuram,Amaravati
2017-07-01,129.55,224.62,42.56,,68.4,85.14333333333333,26.17,39.71,
2017-07-02,110.45,223.56,37.86,,102.32,78.28666666666666,33.12,27.62,
2017-07-03,93.48,246.98,46.69,,86.58,71.43,51.67,22.56,
2017-07-04,82.18,,48.65,,99.05,16.39,76.36,43.69,
2017-07-05,87.64,,37.0,,112.06,20.45,91.07,68.32,
2017-07-06,79.21,,45.03,,71.1,44.965,101.47,55.04,
2017-07-07,126.74,,43.48,,87.67,69.48,80.86,49.78,
2017-07-08,120.31,,55.27,,117.47,53.515,1.02,47.71,
2017-07-09,109.11,,47.47,,104.02,37.55,40.85000000000001,31.62,
2017-07-10,102.45,,39.94,,90.57,49.74,80.68,31.78,
2017-07-11,88.16,,59.13,,95.06,76.65,120.51,18.65,
2017-07-12,76.48,,47.25,,90.82,83.4,0.42,36.27,
2017-07-13,95.74,,42.92,,97.67,78.53,34.01,47.88,
2017-07-14,96.47,,35.06,,96.92,73.66,41.65,46.79,
2017-07-15,112.32,,63.46,,97.63,68.78999999999999,64.8,60.83,
2017-07-16,98.67,,34.05,,97.87,63.91999999999999,83.5,43.6,
2017-07-17,110.36,,27.38,,101.51,59.05,76.56,52.15,
2017-07-18,82.75,,18.17,,94.42,57.2,84.18,54.44,
2017-07-19,66.58,,14.48,,104.81,41.89,52.25,38.51,
2017-07-20,87.62,,16.81,,113.81,54.63,89.06,35.72,
2017-07-21,104.24,,34.66,,97.7,53.05,73.55,22.98,
2017-07-22,120.48,,53.26,,98.4,47.09,55.4,35.6,
2017-07-23,117.82,,66.76,,102.03,41.13,70.7,48.22,
2017-07-24,111.03,,52.3,,100.22,25.83,58.7,60.84,
2017-07-25,99.2,,56.61,,103.08,18.49,86.2,56.6,
2017-07-26,105.63,,61.4,,101.56,29.83,89.59,67.58,
2017-07-27,95.5,,49.0,,86.53666666666666,38.06666666666666,80.29,48.62,
2017-07-28,77.97,,41.75,,71.51333333333332,46.30333333333333,93.94,37.17,
2017-07-29,88.52,,47.66,,56.49,54.53999999999999,94.46,32.19,
2017-07-30,91.72,,60.16,,63.19,62.77666666666666,94.98,54.45,
2017-07-31,90.24,,57.47,,109.83,71.01333333333332,95.5,54.37,
2017-08-01,91.01,,49.6,,107.53,79.25,113.04,41.35,
2017-08-02,91.07,,54.83,,,56.09,123.14,46.53,
2017-08-03,74.63,,34.3,,,43.57,95.79,39.14,
