Date,Ahmedabad,Bengaluru,Chennai,Delhi,Lucknow,Hyderabad,Patna,Gurugram,Visakhapatnam,Amritsar,Jaipur,Thiruvananthapuram,Amaravati
2017-07-01,,25.33,56.49,43.35,38.16,10.98,,76.66,,45.34,25.14,14.69,
2017-07-02,,30.07,62.74,20.52,34.75,9.75,,61.17,,41.09,28.74,10.59,
2017-07-03,,25.82,47.17,46.71,28.98,11.8,,69.17,,36.95,39.4,10.4,
2017-07-04,,83.374,37.6,116.12,28.2,15.53,,110.09,,43.04,52.82,19.2,
2017-07-05,,140.928,46.61,50.81,30.74,10.4,,359.63,,46.59,56.88,22.43,
2017-07-06,,198.482,42.38,47.17,24.48,14.66,,97.11,,49.08,68.1,19.08,
2017-07-07,,256.036,53.45,41.42,29.46,14.77,,455.38,,49.0,60.61,18.61,
2017-07-08,,313.59,59.81,45.31,25.21,18.19,,137.34,,48.72,54.57,33.78,
2017-07-09,,35.29,52.28,58.46,18.4,18.1,,821.42,,49.515,46.43,14.47,
2017-07-10,,33.44,42.48,41.92,30.2,15.0,,147.12,,50.31,44.47,15.94,
2017-07-11,,29.38,62.34,33.04,16.02,19.31,,382.31,,50.33,81.08,8.74,
2017-07-12,,27.64,28.72,22.35,21.53,14.29,,75.84,,48.58,41.86,17.33,
2017-07-13,,28.97,62.64,22.44,28.37,14.49,,65.39,,46.72,33.25,17.62,
2017-07-14,,22.68,48.22,30.35,55.44,13.9,,723.16,,51.53,30.59,14.44,
2017-07-15,,22.43,63.29,32.02,57.07,16.53,,767.825,,52.08,45.02,19.42,
2017-07-16,,17.2,46.96,38.77,47.24,10.24,,812.49,,50.9,44.54,18.97,
2017-07-17,,21.05,45.1,33.56,40.79,10.78,,445.85,,49.41,33.83,19.72,
2017-07-18,,18.45,37.98,37.67,46.12,8.48,,47.73,,50.64,33.98,17.01,
2017-07-19,,16.44,48.24,55.96,41.46,5.72,,55.35,,52.14,15.55,14.38,
2017-07-20,,31.68,41.12,28.88,41.48,6.54,,33.14,,44.63,30.57,13.47,
2017-07-21,,21.53,86.01,23.12,56.67,10.83,,42.9,,47.5,28.19,7.42,
2017-07-22,,20.15,50.07,18.54,47.17,13.37,,397.25,,47.06,18.78,9.68,
2017-07-23,,17.34,37.84,22.65,47.46,15.97,,22.36,,43.23,14.6,11.94,
2017-07-24,,24.23,112.23,17.52,45.11,15.62,,218.14,,47.21,11.5,14.2,
2017-07-25,,28.54,94.7,22.17,37.14,14.04,,25.41,,48.32,21.49,16.93,
2017-07-26,,23.68,92.04,20.17,46.49,16.55,,53.0,,49.32,28.82,23.75,
2017-07-27,,24.49,51.29,24.42,47.36,14.43,,84.4,,48.586666666666666,26.78,20.52,
2017-07-28,,21.77,49.33,25.71,49.58,12.62,,264.95,,47.85333333333333,33.62,15.53,
2017-07-29,,27.91,40.62,27.25,38.49,15.28,,124.17,,47.12,34.233333333333334,15.07,
2017-07-30,,22.36,45.56,10.88,40.43,17.5,,858.73,,31.41,34.84666666666667,24.12,
2017-07-31,,27.27,28.16,17.1,28.38,17.42,,38.04,,51.03,35.46,23.5,
2017-08-01,,26.57,74.6,17.24,32.39,16.85,,16.12,,43.78,43.26,18.25,
2017-08-02,,20.74,68.25,27.56,37.85,16.78,,28.56,,,44.16,15.15,
2017-08-03,,17.67,29.95,27.29,42.88,11.79,,35.52,,,31.91,15.12,
