Date,Ahmedabad,Bengaluru,Chennai,Delhi,Lucknow,Hyderabad,Patna,Visakhapatnam,Amritsar,Jaipur,Amaravati
2017-07-01,,0.4,0.02,0.0,4.21,0.35,0.0,0.0,2.46,0.46,
2017-07-02,,1.96,0.04,0.0,3.16,0.34,0.0,0.0,3.35,0.78,
2017-07-03,,0.49,0.05,0.0,3.04,0.52,0.0,0.0,3.56,0.34,
2017-07-04,,0.42,0.0,0.0,3.14,0.45,0.0,0.0,3.34,0.21,
2017-07-05,,0.75,0.35,0.0,2.9,0.69,0.0,0.0,3.12,0.19,
2017-07-06,,0.81,0.0,0.0,2.6,1.26,0.0,0.0,3.0250000000000004,0.13,
2017-07-07,,0.84,0.04,0.0,3.14,1.33,0.0,0.0,2.93,0.1,
2017-07-08,,0.73,0.14,0.0,2.48,1.26,0.0,0.0,,0.26,
2017-07-09,,0.5,0.11,0.0,2.15,1.01,0.0,0.0,,0.11,
2017-07-10,,0.56,0.11,0.0,2.32,1.83,0.0,0.0,,0.0825,
2017-07-11,,0.63,0.17,0.0,1.97,2.66,0.0,0.0,,0.055,
2017-07-12,,1.04,0.2,0.0,1.55,2.28,0.0,0.0,,0.0275,
2017-07-13,,0.69,0.64,0.0,1.99,1.95,0.0,0.0,,0.0,
2017-07-14,,0.54,0.63,0.0,1.9,1.21,0.0,0.0,2.49,0.0,
2017-07-15,,0.57,0.45,0.0,1.68,0.46,0.0,0.0,3.64,0.0,
2017-07-16,,0.41,0.0,0.0,1.07,0.76,0.0,0.0,3.6,0.32,
2017-07-17,,0.42,0.05,0.0,1.53,4.0,0.0,0.0,2.135,0.64,
2017-07-18,,0.49,0.0,0.0,1.68,0.47,0.0,0.0,0.67,5.2,
2017-07-19,,0.51,0.45,0.0,1.56,0.46,0.0,0.0,0.99,0.47,
2017-07-20,,0.38,0.5,0.0,1.5,0.58,0.0,0.0,1.0,0.79,
2017-07-21,,1.18,0.17,0.0,1.31,1.0,0.0,0.0,1.02,2.55,
2017-07-22,,1.38,0.16,0.0,1.53,0.49,0.0,0.0,1.22,0.06,
2017-07-23,,1.07,0.0,0.0,1.48,0.37,0.0,0.0,,0.44,
2017-07-24,,1.14,0.01,0.0,1.53,0.69,0.0,0.0,,0.0,
2017-07-25,,3.18,0.11,0.0,1.54,0.87,0.0,0.0,,0.92,
2017-07-26,,0.36,0.08,0.0,2.03,0.95,0.0,0.0,,0.28,
2017-07-27,,0.59,0.0,0.0,3.08,0.88,0.0,0.0,,0.56,
2017-07-28,,0.79,0.31,0.0,3.08,0.96,0.0,0.0,,0.17,
2017-07-29,,1.34,0.04,0.0,3.1,1.63,0.0,0.0,2.08,0.36,
2017-07-30,,1.27,0.0,0.0,2.99,3.43,0.0,0.0,1.6,0.5499999999999999,
2017-07-31,,0.82,0.01,0.0,1.98,5.05,0.0,0.0,30.21,0.74,
2017-08-01,,2.03,0.03,0.0,3.09,4.08,0.0,0.0,0.16,0.18,
2017-08-02,,0.63,0.01,0.0,3.08,2.23,0.0,0.0,,0.37,
2017-08-03,,2.39,0.02,0.0,3.09,1.32,0.0,0.0,,0.17,
2017-08-04,,0.98,0.02,0.0,3.1,1.86,0.0,0.0,,0.84,
2017-08-05,,1.64,0.09,0.0,3.11,3.04,0.0,0.0,,0.07,
2017-08-06,,3.42,0.0,0.0,3.11,2.36,0.0,0.0,,0.03,
2017-08-07,,3.19,0.09,0.0,3.1,6.23,0.0,0.0,,0.06,
2017-08-08,,1.98,0.0,0.0,3.07,8.55,0.0,0.0,7.12,0.35,
2017-08-09,,1.19,0.21,0.0,3.1,7.29,0.0,0.0,6.5,0.35,
2017-08-10,,1.06,0.54,0.0,3.06,2.62,0.0,0.0,5.88,0.16,
2017-08-11,,1.39,0.22,0.0,3.09,3.36,0.0,0.0,13.77,0.05,
2017-08-12,,1.34,0.1,0.0,3.1,1.92,0.0,0.0,7.28,0.04,
2017-08-13,,1.11,0.0,0.0,3.11,2.16,0.0,0.0,1.9,0.01,
2017-08-14,,1.47,0.0,0.0,3.12,4.63,0.0,0.0,0.96,0.0,
2017-08-15,,0.84,0.0,0.0,3.1,4.55,0.0,0.0,1.24,0.0,
2017-08-16,,1.18,0.02,0.0,3.13,2.13,0.0,0.0,1.47,0.0,
2017-08-17,,0.76,0.11,0.0,3.11,2.16,0.0,0.0,1.65,0.0,
2017-08-18,,0.88,0.0,0.0,3.12,2.31,,0.0,1.44,0.0,
2017-08-19,,0.66,0.0,0.0,3.0,0.82,,0.0,1.16,0.0,
2017-08-20,,0.54,0.0,0.0,3.0,0.4,,0.0,0.77,0.0,
2017-08-21,,0.56,0.0,0.0,2.85,0.91,,0.0,1.05,0.3,
2017-08-22,,0.67,0.2,0.0,3.1,1.7,,0.0,0.91,0.16,
2017-08-23,,1.01,0.09,0.0,3.1,2.09,,0.0,0.94,0.27,
2017-08-24,,1.31,0.05,0.0,3.09,2.48,,0.0,1.14,0.42,
2017-08-25,,0.82,0.06,0.0,3.11,2.48,,0.0,0.95,0.16,
2017-08-26,,0.54,0.21,0.0,3.09,1.79,,0.0,1.09,0.4,
2017-08-27,,0.64,0.12,0.0,3.11,2.44,,0.0,1.3,0.04,
2017-08-28,,0.62,0.0,0.25,3.14,1.02,,0.0,1.06,0.09,
2017-08-29,,0.57,0.02,0.0,3.11,1.07,,0.0,1.18,3.63,
2017-08-30,,0.69,0.0,0.0,2.87,1.15,,0.0,1.54,0.99,
2017-08-31,,1.05,0.07,0.35,2.89,1.99,,0.0,1.45,0.07,
2017-09-01,,1.78,0.36,0.21,3.1,5.07,,0.0,0.78,0.02,
2017-09-02,,2.18,0.01,0.0,3.1,9.87,,0.0,0.97,0.0,
2017-09-03,,1.2,0.04,0.0,3.14,1.32,,0.0,1.16,0.0716666666666666,
2017-09-04,,1.56,0.02,0.0,3.15,2.52,,0.0,1.44,0.1433333333333333,
2017-09-05,,1.86,0.03,0.0,3.11,2.56,,0.0,1.41,0.215,
2017-09-06,,1.57,0.11,0.0,3.1,3.19,0.0,0.0,1.78,0.2866666666666667,
2017-09-07,,1.83,0.07,0.0,3.11,5.76,0.0,0.0,1.57,0.3583333333333333,
2017-09-08,,1.81,0.68,0.0,3.12,3.6,0.0,0.0,1.68,0.43,
2017-09-09,,2.21,0.14,0.0,3.14,1.89,0.0,0.0,1.71,0.48,
2017-09-10,,1.27,0.0,0.0,3.13,1.52,0.0,0.0,1.48,0.2,
2017-09-11,,1.03,0.03,0.0,3.11,1.56,0.0,0.0,1.34,0.08,
2017-09-12,,1.01,0.02,0.0,3.1,1.72,0.0,0.0,1.99,0.22,
2017-09-13,,1.11,0.26,0.0,3.11,3.46,0.0,0.0,1.98,0.49,
2017-09-14,,1.22,0.09,0.0,3.09,2.49,0.0,0.0,1.32,0.92,
