Date,Ahmedabad,Delhi,Hyderabad,Patna,Visakhapatnam,Amritsar
2017-07-01,,,0.1,0.0,0.0,0.44
2017-07-02,,,0.01,0.0,0.0,0.29
2017-07-03,,,0.55,0.0,0.0,0.54
2017-07-04,,,0.18,0.0,0.0,0.995
2017-07-05,,,0.23,0.0,0.0,1.45
2017-07-06,,,5.74,0.0,0.0,
2017-07-07,,,2.26,0.0,0.0,
2017-07-08,,,1.05,0.0,0.0,
2017-07-09,,,0.67,0.0,0.0,
2017-07-10,,,1.27,0.0,0.0,
2017-07-11,,,2.42,0.0,0.0,
2017-07-12,,,0.54,0.0,0.0,
2017-07-13,,,0.42,0.0,0.0,
2017-07-14,,,0.57,0.0,0.0,2.23
2017-07-15,,,0.24,0.0,0.0,0.54
2017-07-16,,,0.06,0.0,0.0,0.44
2017-07-17,,,0.66,0.0,0.0,0.27
2017-07-18,,,0.19,0.0,0.0,0.1
2017-07-19,,,0.15,0.0,0.0,0.32
2017-07-20,,,0.07,0.0,0.0,0.59
2017-07-21,,,0.14,0.0,0.0,0.5
2017-07-22,,,0.06,0.0,0.0,0.17
2017-07-23,,,0.04,0.0,0.0,
2017-07-24,,,0.09,0.0,0.0,
2017-07-25,,,0.29,0.0,0.0,
2017-07-26,,,1.6,0.0,0.0,
2017-07-27,,,0.59,0.0,0.0,
2017-07-28,,,0.71,0.0,0.0,
2017-07-29,,,1.11,0.0,0.0,0.1
2017-07-30,,,1.34,0.0,0.0,0.21
2017-07-31,,,2.84,0.0,0.0,0.85
2017-08-01,,,2.65,0.0,0.0,0.46
2017-08-02,,,0.88,0.0,0.0,
2017-08-03,,,0.18,0.0,0.0,
2017-08-04,,,0.43,0.0,0.0,
2017-08-05,,,1.11,0.0,0.0,
2017-08-06,,,0.49,0.0,0.0,
2017-08-07,,,1.63,0.0,0.0,
2017-08-08,,,2.74,0.0,0.0,4.35
2017-08-09,,,0.88,0.0,0.0,3.01
2017-08-10,,,0.38,0.0,0.0,1.67
2017-08-11,,,0.87,0.0,0.0,2.64
2017-08-12,,,0.71,0.0,0.0,53.59
2017-08-13,,,0.41,0.0,0.0,25.73
2017-08-14,,,1.13,0.0,0.0,16.32
2017-08-15,,,0.74,0.0,0.0,20.66
2017-08-16,,,0.84,0.0,0.0,17.03
