Date,AP001,AP005,BR007,DL002,DL011,DL017,DL019,DL021,DL025,DL028,DL030,DL033,GJ001,HR014,KA003,MH005,PB001,RJ004,RJ005,RJ006,TG001,TG002,TG003,TG004,TG005,TG006,TN001,TN004,UP012,UP014,DL003,DL010,DL027,DL035,DL037,DL038
2017-07-01,,0.0,0.0,,0.0,,0.0,2.06,,,,0.0,,0.02,0.67,0.0,1.67,,0.04,,0.0,0.36,0.0,0.0,0.0,0.0,0.03,0.0,0.99,3.0,,,,,,
2017-07-02,,0.0,0.0,,0.0,,0.0,0.98,,,,0.0,,0.03,0.67,0.0,1.97,,0.1,,0.0,0.15,0.01,0.0,0.0,0.0,0.06,0.0,0.13,2.99,,,,,,
2017-07-03,,0.0,0.0,,0.0,,0.0,2.87,,,,0.0,,0.03,0.76,0.0,2.34,,0.0,,0.0,0.46,0.01,0.12,0.0,0.0,0.1,0.0,0.03,3.0,,,,,,
2017-07-04,,0.0,0.0,,0.0,,0.0,3.61,,,,0.0,,0.03,0.51,0.0,2.335,,0.0,,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.12,2.99,,,,,,
2017-07-05,,0.0,0.0,,0.0,,0.0,3.5,,,,0.0,,0.04,0.86,0.0,2.33,,0.0,,0.0,0.59,0.01,0.0,0.0,0.0,0.0,0.0,0.09,2.2,,,,,,
2017-07-06,,0.0,0.0,,0.0,,0.0,0.52,,,,0.0,,0.03,0.9,0.0,2.325,,0.0,,0.0,1.27,0.03,0.12,0.0,0.0,0.0,0.0,0.26,1.0,,,,,,
2017-07-07,,0.0,0.0,,0.0,,0.0,0.58,,,,0.0,,0.02,0.96,0.0,2.32,,0.0,,0.0,1.19,0.03,0.22,0.0,0.0,0.03,0.0,0.29,1.0,,,,,,
2017-07-08,,0.0,0.0,,0.0,,0.0,0.52,,,,0.0,,0.03,1.09,0.0,,,0.0,,0.0,0.92,0.04,0.15,0.0,0.0,0.2,0.0,0.17,1.0,,,,,,
2017-07-09,,0.0,0.0,,0.0,,0.0,0.7,,,,0.0,,0.03,0.78,0.0,,,0.0,,0.0,0.62,0.04,0.05,0.0,0.0,0.2,0.0,0.0,1.0,,,,,,
2017-07-10,,0.0,,,0.0,,0.0,0.73,,,,0.0,,0.03,0.8,0.0,,,0.0,,0.0,1.92,0.06,0.37,0.0,0.0,0.13,0.0,0.1,1.0,,,,,,
2017-07-11,,0.0,,,0.0,,0.0,1.25,,,,0.0,,0.03,0.74,0.0,,,0.0,,0.0,1.76,0.09,0.8,0.0,0.0,0.2,0.0,0.0,1.0,,,,,,
2017-07-12,,0.0,,,0.0,,0.0,1.08,,,,0.0,,0.03,1.0,0.0,,,0.0,,0.0,1.12,0.02,0.49,0.0,0.0,0.23,0.0,0.0,0.99,,,,,,
2017-07-13,,0.0,,,0.0,,0.0,1.35,,,,0.0,,0.03,0.81,0.0,,,0.0,,0.0,0.57,0.04,0.4,0.0,0.0,0.63,0.0,0.0,1.0,,,,,,
2017-07-14,,0.0,0.0,,0.0,,0.0,1.16,,,,0.0,,0.02,0.69,0.0,1.8,,0.0,,0.0,0.42,0.03,0.07,0.0,0.0,0.35,0.0,0.05,1.0,,,,,,
2017-07-15,,0.0,0.0,,0.0,,0.0,1.44,,,,0.0,,0.03,0.73,0.0,2.25,,0.0,,0.0,0.05,0.01,0.0,0.0,0.0,0.6,0.0,0.0,1.0,,,,,,
2017-07-16,,0.0,0.0,,0.0,,0.0,1.45,,,,0.0,,0.02,0.59,0.0,2.36,,0.0,,0.0,0.04,0.01,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,
2017-07-17,,0.0,0.0,,0.0,,0.0,1.79,,,,0.0,,0.01,0.66,0.0,1.89,,0.0,,0.0,0.86,0.03,0.56,0.0,0.0,0.03,0.0,0.0,0.97,,,,,,
2017-07-18,,0.0,0.0,,0.0,,0.0,1.63,,,,0.0,,0.02,0.59,0.0,1.42,,4.84,,0.0,0.24,0.01,0.0,0.0,0.0,0.11,0.0,0.05,0.99,,,,,,
2017-07-19,,0.0,0.0,,0.0,,0.0,1.85,,,,0.0,,0.03,0.59,0.0,2.22,,0.0,,0.0,0.32,0.01,0.0,0.0,0.0,0.56,0.0,0.02,1.0,,,,,,
2017-07-20,,0.0,0.0,,0.0,,0.0,1.43,,,,0.0,,0.03,0.41,0.0,2.1,,0.52,,0.0,0.16,0.0,0.0,0.0,0.0,0.49,0.0,0.0,1.0,,,,,,
2017-07-21,,0.0,0.0,,0.0,,0.0,1.36,,,,0.0,,0.02,0.61,0.0,2.56,,2.09,,0.0,0.2,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.98,,,,,,
2017-07-22,,0.0,0.0,,0.0,,0.0,0.11,,,,0.0,,0.0,0.57,0.0,3.16,,0.0,,0.0,0.05,0.0,0.0,0.0,0.0,0.19,0.0,0.0,1.0,,,,,,
2017-07-23,,0.0,0.0,,0.0,,0.0,0.0,,,,0.0,,0.0,0.54,0.0,,,0.0,,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,,,,,,
2017-07-24,,0.0,0.0,,0.0,,0.0,0.7,,,,0.0,,0.0,0.76,0.0,,,0.0,,0.0,0.3,0.0,0.0,0.0,0.0,0.02,0.0,0.0,1.0,,,,,,
2017-07-25,,0.0,0.0,,0.0,,0.0,2.51,,,,0.0,,0.0,0.55,0.0,,,0.0,,0.0,0.15,0.0,0.0,0.0,0.0,0.09,0.0,0.0,1.0,,,,,,
2017-07-26,,0.0,0.0,,0.0,,0.0,0.48,,,,0.0,,0.0,0.53,0.0,,,0.0,,0.0,0.22,0.01,0.1,0.0,0.0,0.15,0.0,0.67,1.0,,,,,,
2017-07-27,,0.0,,,0.0,,0.0,0.03,,,,0.0,,0.0,0.76,0.0,,,0.0,,0.0,0.26,0.0,0.0,0.0,0.0,0.01,0.0,1.97,0.99,,,,,,
2017-07-28,,0.0,,,0.0,,0.0,0.63,,,,0.0,,0.0,0.88,0.0,,,0.0,,0.0,0.48,0.01,0.13,0.0,0.0,0.01,0.0,1.97,1.01,,,,,,
2017-07-29,,0.0,,,0.0,,0.0,0.64,,,,0.0,,0.0,0.8,0.0,4.2,,0.0,,0.0,1.11,0.03,0.36,0.0,0.0,0.02,0.0,1.99,1.0,,,,,,
2017-07-30,,0.0,,,0.0,,0.0,0.76,,,,0.0,,0.0,0.62,0.0,2.17,,0.0,,0.0,0.94,0.06,1.1,0.0,0.0,0.0,0.0,1.89,0.99,,,,,,
2017-07-31,,0.0,0.0,,0.0,,0.0,0.87,,,,0.0,,0.0,0.8,0.0,1.79,,0.0,,0.0,3.19,0.09,1.26,0.0,0.0,0.01,0.0,0.47,1.0,,,,,,
2017-08-01,,0.0,0.0,,0.0,,0.0,0.62,,,,0.0,,0.0,1.07,0.0,,,0.0,,0.0,1.13,0.06,0.52,0.0,0.0,0.03,0.0,2.01,0.99,,,,,,
2017-08-02,,0.0,0.0,,0.0,,0.0,0.9,,,,0.0,,0.0,0.74,0.0,,,0.0,,0.0,1.06,0.07,0.27,0.0,0.0,0.01,0.0,1.99,0.99,,,,,,
2017-08-03,,0.0,0.0,,0.0,,0.0,0.65,,,,0.0,,0.0,0.74,0.0,,,0.0,,0.0,0.39,0.03,0.0,0.0,0.0,0.02,0.0,2.01,1.0,,,,,,
2017-08-04,,0.0,0.0,,0.0,,0.0,0.8,,,,0.0,,0.0,0.8,0.0,,,0.87,,0.0,0.67,0.04,1.59,0.0,0.0,0.03,0.0,1.98,0.99,,,,,,
2017-08-05,,0.0,0.0,,0.0,,0.0,0.89,,,,0.0,,0.0,0.78,0.0,,,0.0,,0.0,1.4,0.08,0.88,0.0,0.0,0.15,0.0,2.01,0.99,,,,,,
2017-08-06,,0.0,0.0,,0.0,,0.0,1.24,,,,0.0,,0.0,0.64,0.0,,,0.0,,0.0,1.46,0.12,0.68,0.0,0.0,0.0,0.0,1.99,1.0,,,,,,
2017-08-07,,0.0,0.0,,0.0,,0.0,2.07,,,,0.0,,0.0,0.71,0.0,,,0.0,,0.0,7.61,0.11,0.99,0.0,0.0,0.0,0.0,2.0,1.0,,,,,,
2017-08-08,,0.0,0.0,,0.0,,0.0,1.89,,,,0.0,,0.0,0.74,0.0,4.32,,0.0,,0.0,17.42,0.1,0.5,0.0,0.0,0.44,0.0,2.01,0.99,,,,,,
2017-08-09,,0.0,0.0,,0.0,,0.0,3.89,,,,0.0,,0.0,1.17,0.0,5.03,,0.0,,0.0,7.31,0.18,0.13,0.0,0.0,0.2,0.0,1.99,0.99,,,,,,
2017-08-10,,0.0,0.0,,0.0,,0.0,1.51,,,,0.0,,0.0,1.01,0.0,5.74,,0.0,,0.0,1.9,0.16,0.36,0.0,0.0,0.12,0.0,1.98,0.98,,,,,,
2017-08-11,,0.0,0.0,,0.0,,0.0,0.91,,,,0.0,,0.0,1.22,0.0,7.12,,0.0,,0.0,3.5,0.12,0.15,0.0,0.0,0.0,0.0,2.01,1.01,,,,,,
2017-08-12,,0.0,0.0,,0.0,,0.0,0.81,,,,0.0,,0.0,1.02,0.0,11.64,,0.0,,0.0,1.41,0.07,0.08,0.0,0.0,0.32,0.0,2.0,1.0,,,,,,
2017-08-13,,0.0,0.0,,0.0,,0.0,0.7100000000000001,,,,0.0,,0.0,1.21,0.0,12.06,,0.0,,0.0,2.49,0.05,0.3,0.0,0.0,0.0,0.0,1.98,1.0,,,,,,
2017-08-14,,0.0,0.0,,0.0,,0.0,0.61,,,,0.0,,0.0,1.33,0.0,7.11,,0.0,,0.0,3.28,0.06,0.84,0.0,0.0,0.0,0.0,1.99,0.99,,,,,,
2017-08-15,,0.0,0.0,,0.0,,0.0,0.32,,,,0.0,,0.0,0.84,0.0,1.63,,0.0,,0.0,2.93,0.08,0.14,0.0,0.0,0.0,0.0,2.0,1.0,,,,,,
2017-08-16,,0.0,0.0,,0.0,,0.0,0.57,,,,0.0,,0.0,1.09,0.0,1.3,,0.0,,0.0,2.07,0.05,0.16,0.0,0.0,0.04,0.0,1.99,1.0,,,,,,
2017-08-17,,0.0,0.0,,0.0,,0.0,0.47,,,,0.0,,0.0,1.03,0.0,1.43,,0.0,,0.0,1.73,0.02,0.49,0.0,0.0,0.32,0.0,2.0,0.8,,,,,,
2017-08-18,,0.0,,,0.0,,0.0,0.37,,,,0.0,,0.0,0.91,0.0,1.25,,0.0,,0.0,2.23,0.08,0.3,0.0,0.0,0.24,0.0,1.98,1.0,,,,,,
2017-08-19,,0.0,,,0.0,,0.0,0.995,,,,0.0,,0.0,0.77,0.0,1.01,,0.0,,0.0,0.31,0.08,0.01,0.0,0.0,0.1599999999999999,,1.98,1.0,,,,,,
2017-08-20,,0.0,,,0.0,,0.0,1.62,,,,0.0,,0.0,1.04,0.0,1.45,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0799999999999999,,1.98,1.01,,,,,,
2017-08-21,,0.0,,,0.0,,0.0,2.245,,,,0.0,,0.0,0.71,0.0,4.34,,0.12,,0.0,0.49,0.02,0.0,0.0,0.0,0.0,,1.98,0.92,,,,,,
2017-08-22,,0.0,,,0.0,,0.0,2.87,,,,0.0,,0.0,0.68,0.0,3.8,,0.0,,0.0,1.69,0.08,0.12,0.0,0.0,0.19,,2.0,1.0,,,,,,
2017-08-23,,0.0,,,0.0,,0.0,1.31,,,,0.0,,0.0,0.95,0.0,1.22,,0.0,,0.0,2.28,0.05,0.22,0.0,0.0,0.1,,2.01,1.01,,,,,,
2017-08-24,,0.0,,,0.0,,0.0,1.16,,,,0.0,,0.0,1.03,0.0,1.41,,0.0,,0.0,2.76,0.09,0.38,0.0,0.0,0.04,,2.0,1.0,,,,,,
2017-08-25,,0.0,,,0.0,,0.0,1.25,,,,0.0,,0.0,0.85,0.0,2.22,,0.0,,0.0,0.94,0.09,0.25,0.0,0.0,0.06,,2.01,0.99,,,,,,
