Date,AP001,AP005,DL002,DL008,DL013,DL014,DL019,DL028,DL031,DL034,KA009,KL008,PB001,RJ004,RJ005,RJ006,TG001,TG002,TG003,TG004,TG006,TN003,UP016,DL003,DL009,DL015,DL016,DL026,DL027,DL032,DL035,DL037,DL038
2017-07-01,,,,,,,,,,44.12,31.77,,12.22,,1.12,,,,,3.54,,,,,,,,,,,,,
2017-07-02,,,,,,,,,,32.97,90.01,,11.48,,1.12,,,,,3.36,,,,,,,,,,,,,
2017-07-03,,,,,,,,,,32.02,104.87,,11.52,,28.45,,,,,3.46,,,,,,,,,,,,,
2017-07-04,,,,,,,,,,28.8,,,11.55,,16.31,,,,,3.57,,,,,,,,,,,,,
2017-07-05,,,,,,,,,,25.81,,,11.44,,6.45,,,,,3.23,,,,,,,,,,,,,
2017-07-06,,,,,,,,,,24.82,,,11.32,,6.36,,,,,3.63,,,,,,,,,,,,,
2017-07-07,,,,,,,,,,30.98,,,11.42,,6.59,,,,,4.21,,,,,,,,,,,,,
2017-07-08,,,,,,,,,,28.82,29.43,,10.82,,6.53,,,,,5.0,,,,,,,,,,,,,
2017-07-09,,,,,,,,,,41.79,32.09,,11.045,,5.6,,,,,4.05,,,,,,,,,,,,,
2017-07-10,,,,,,,,,,27.22,32.39,,11.27,,5.34,,,,,8.73,,,,,,,,,,,,,
2017-07-11,,,,,,,,,,26.19,30.96,,11.28,,4.73,,,,,4.66,,,,,,,,,,,,,
2017-07-12,,,,,,,,,,27.31,27.05,,11.15,,3.1100000000000003,,,,,5.08,,,,,,,,,,,,,
2017-07-13,,,,,,,,,,28.03,27.1,,11.36,,1.49,,,,,4.91,,,,,,,,,,,,,
2017-07-14,,,,,,,,,,29.06,26.36,,11.56,,1.01,,,,,4.76,,,,,,,,,,,,,
2017-07-15,,,,,,,,,,37.26,26.88,,12.17,,3.02,,,,,6.42,,,,,,,,,,,,,
2017-07-16,,,,,,,,,,35.52,26.78,,12.72,,5.03,,,,,25.84,,,,,,,,,,,,,
2017-07-17,,,,,,,,,,43.34,26.87,,11.61,,5.31,,,,,18.71,,,,,,,,,,,,,
2017-07-18,,,,,,,,,,49.2,26.88,,11.5,,5.62,,,,,5.02,,,,,,,,,,,,,
