Date,AP001,AP005,BR007,DL002,DL004,DL007,DL008,DL012,DL013,DL014,DL017,DL019,DL021,DL025,DL028,DL030,DL031,DL033,DL034,GJ001,HR014,JH001,KA003,KA005,KA009,KA010,KL008,PB001,RJ004,RJ005,RJ006,TG001,TG002,TG003,TG004,TG005,TG006,TN001,TN003,TN004,UP012,UP014,UP016,DL003,DL009,DL010,DL015,DL016,DL018,DL024,DL026,DL027,DL032,DL037,DL038
2017-07-01,,,,,,,,,,,,,,,,,,,62.09,,5.93,7.12,1.35,54.12,3.26,,2.05,41.27,,4.69,,,10.83,5.61,9.88,,,8.09,,,8.24,11.93,,,,,,,,,,,,,
2017-07-02,,,,,,,,,,,,,,,,,,,28.19,,5.97,8.2,1.64,46.93,188.46,,2.14,44.43,,4.67,,,6.43,5.43,9.77,,,10.45,,,8.26,8.56,,,,,,,,,,,,,
2017-07-03,,,,,,,,,,,,,,,,,,,28.86,,5.91,9.28,3.13,43.06,152.57,,2.05,35.92,,9.59,,,16.47,6.05,9.91,,,7.17,,,7.71,10.54,,,,,,,,,,,,,
2017-07-04,,,,,,,,,,,,,,,,,,,27.08,,5.95,12.53,4.62,33.9,,,2.02,39.84,,6.0,,,6.89,5.59,9.92,,,5.81,,,6.35,9.21,,,,,,,,,,,,,
2017-07-05,,,,,,,,,,,,,,,,,,,27.08,,5.94,7.36,5.63,30.35,,,1.88,33.02,,0.98,,,6.86,5.57,9.75,,,11.52,,,6.6,8.65,,,,,,,,,,,,,
2017-07-06,,,,,,,,,,,,,,,,,,,18.19,,5.96,7.824999999999999,6.09,37.8,,,1.9,53.4,,0.99,,,7.1,5.86,9.91,,,7.91,,,11.11,8.19,,,,,,,,,,,,,
2017-07-07,,,,,,,,,,,,,,,,,,,30.0,,5.96,8.29,7.49,43.68,,,1.9,51.78,,1.71,,,8.6,5.9,10.25,,,8.01,,,7.66,10.0,,,,,,,,,,,,,
2017-07-08,,,,,,,,,,,,,,,,,,,32.87,,5.93,7.85,8.47,45.53,2.75,,1.83,50.12,,2.1,,,6.76,5.48,10.2,,,4.93,,,7.02,10.64,,,,,,,,,,,,,
2017-07-09,,,,,,,,,,,,,,,,,,,67.54,,5.94,7.41,7.47,40.28,3.38,,1.93,38.09,,1.48,,,6.75,5.56,9.72,,,5.16,,,6.49,8.03,,,,,,,,,,,,,
2017-07-10,,,,,,,,,,,,,,,,,,,25.63,,5.93,8.62,6.73,31.3,3.54,,1.92,26.06,,1.36,,,7.11,5.62,12.78,,,7.71,,,8.99,9.69,,,,,,,,,,,,,
2017-07-11,,,,,,,,,,,,,,,,,,,26.7,,5.92,8.78,5.82,43.7,3.78,,1.84,28.17,,0.44,,,7.67,6.47,10.79,,,5.9,,,7.38,8.28,,,,,,,,,,,,,
2017-07-12,,,,,,,,,,,,,,,,,,,25.59,,5.15,8.34,5.85,28.05,3.54,,1.9,34.56,,3.5500000000000003,,,7.1,5.75,10.54,,,9.49,,,8.67,9.74,,,,,,,,,,,,,
2017-07-13,,,,,,,,,,,,,,,,,,,25.51,,1.34,,6.54,39.82,3.47,,1.97,32.5,,6.66,,,7.14,5.62,11.02,,,10.07,,,6.66,9.16,,,,,,,,,,,,,
2017-07-14,,,,,,,,,,,,,,,,,,,17.2,,1.29,,6.63,30.0,3.3,,2.05,26.7,,6.77,,,6.96,5.74,12.32,,,10.26,,,7.63,9.21,,,,,,,,,,,,,
2017-07-15,,,,,,,,,,,,,,,,,,,16.13,,1.25,,6.93,38.08,3.44,,2.08,20.36,,9.85,,,6.91,5.6,14.12,,,11.92,,,8.23,9.38,,,,,,,,,,,,,
2017-07-16,,,,,,,,,,,,,,,,,,,15.56,,1.27,,6.63,30.08,3.3,,2.03,24.32,,13.17,,,6.98,5.71,5.35,,,10.18,,,8.1,6.54,,,,,,,,,,,,,
2017-07-17,,,,,,,,,,,,,,,,,,,31.69,,1.31,6.19,6.67,24.63,3.39,,1.98,21.41,,13.4,,,7.44,5.88,7.26,,,9.47,,,10.55,6.66,,,,,,,,,,,,,
2017-07-18,,,,,,,,,,,,,,,,,,,25.69,,2.04,6.65,6.43,28.22,3.39,,1.99,28.79,,13.91,,,6.79,5.42,3.62,,,10.36,,,21.67,10.58,,,,,,,,,,,,,
2017-07-19,,,,,,,,,,,,,,,,,,,58.31,,4.64,6.77,6.62,44.7,3.44,,1.97,32.85,,13.21,,,7.04,5.62,3.74,,,7.01,,,22.02,16.46,,,,,,,,,,,,,
2017-07-20,,,,,,,,,,,,,,,,,,,41.13,,86.59,7.07,7.39,33.14,3.31,,1.93,19.51,,13.15,,,6.8,5.4,2.98,,,8.08,,,21.91,7.4,,,,,,,,,,,,,
2017-07-21,,,,,,,,,,,,,,,,,,,20.56,,14.79,7.06,6.89,36.32,3.18,,1.99,22.5,,10.58,,,6.91,5.39,2.71,,,8.56,,,22.02,7.43,,,,,,,,,,,,,
2017-07-22,,,,,,,,,,,,,,,,,,,20.65,,14.48,6.789999999999999,7.24,40.02,4.02,,1.98,22.28,,6.13,,,6.8,0.54,2.52,,,8.25,,,21.98,7.77,,,,,,,,,,,,,
2017-07-23,,,,,,,,,,,,,,,,,,,18.67,,10.95,6.52,7.06,34.12,4.17,,1.97,27.93,,6.9,,,6.67,5.33,2.67,,,7.11,,,22.08,7.17,,,,,,,,,,,,,
2017-07-24,,,,,,,,,,,,,,,,,,,28.89,,13.37,6.9,5.61,21.25,4.54,,1.96,20.6,,3.73,,,7.52,5.4,3.28,,,7.64,,,21.89,11.66,,,,,,,,,,,,,
2017-07-25,,,,,,,,,,,,,,,,,,,21.08,,54.7,6.96,5.43,20.43,3.32,,2.09,16.09,,10.48,,,10.05,5.56,4.1,,,7.82,,,21.95,9.66,,,,,,,,,,,,,
2017-07-26,,,,,,,,,,,,,,,,,,,20.61,,11.26,6.82,5.09,21.31,3.24,,1.72,24.35,,7.78,,,2.09,5.54,3.42,,,8.46,,,17.05,7.94,,,,,,,,,,,,,
2017-07-27,,,,,,,,,,,,,,,,,,,23.71,,10.71,,4.87,24.65,3.46,,1.82,32.54666666666667,,9.45,,,7.09,5.83,3.61,,,6.65,,,6.61,7.25,,,,,,,,,,,,,
2017-07-28,,,,,,,,,,,,,,,,,,,23.69,,8.45,,5.67,19.91,3.18,,1.94,40.74333333333333,,7.41,,,12.09,5.74,10.49,,,6.3,,,7.01,8.14,,,,,,,,,,,,,
2017-07-29,,,,,,,,,,,,,,,,,,,12.65,,2.32,,5.46,20.98,3.3,,2.05,48.94,,11.033333333333331,,,7.55,5.81,10.61,,,6.28,,,9.9,10.99,,,,,,,,,,,,,
2017-07-30,,,,,,,,,,,,,,,,,,,11.6,,1.23,,5.53,25.72,3.28,,2.06,58.03,,14.656666666666666,,,7.53,5.81,10.95,,,6.13,,,8.22,8.16,,,,,,,,,,,,,
2017-07-31,,,,,,,,,,,,,,,,,,,28.26,,1.65,,4.75,19.89,2.77,,2.07,44.87,,18.28,,,8.59,1.78,11.28,,,6.31,,,9.07,9.55,,,,,,,,,,,,,
2017-08-01,,,,,,,,,,,,,,,,,,,27.25,,2.55,6.8,5.98,15.24,1.75,,2.18,66.84,,12.44,,,7.66,6.35,4.23,,,6.04,,,8.62,11.72,,,,,,,,,,,,,
2017-08-02,,,,,,,,,,,,,,,,,,,33.12,,2.45,6.87,20.21,16.51,2.61,,1.9,,,13.76,,,7.08,5.94,3.37,,,6.11,,,8.59,16.19,,,,,,,,,,,,,
2017-08-03,,,,,,,,,,,,,,,,,,,28.58,,2.61,6.88,34.47,20.37,1.92,,1.88,,,10.94,,,7.44,5.73,3.07,,,6.13,,,10.46,15.93,,,,,,,,,,,,,
2017-08-04,,,,,,,,,,,,,,,,,,,29.66,,2.03,6.81,6.68,20.49,1.68,,1.85,,,7.92,,,8.3,5.72,12.68,,,6.19,,,21.46,10.11,,,,,,,,,,,,,
2017-08-05,,,,,,,,,,,,,,,,,,,34.95,,1.98,6.72,5.15,24.59,1.7,,1.94,,,7.4,,,7.44,5.87,12.71,,,6.12,,,35.14,11.77,,,,,,,,,,,,,
2017-08-06,,,,,,,,,,,,,,,,,,,52.38,,1.48,6.88,5.1,18.78,1.71,,1.99,,,7.84,,,7.27,6.01,13.26,,,6.27,,,16.27,5.7,,,,,,,,,,,,,
2017-08-07,,,,,,,,,,,,,,,,,,,25.72,,1.5,6.82,5.86,20.1,1.75,,1.8,,,7.5,,,8.84,6.14,13.4,,,6.64,,,15.25,7.13,,,,,,,,,,,,,
2017-08-08,,,,,,,,,,,,,,,,,,,36.57,,1.5,6.82,6.2,17.49,1.74,,1.79,8.09,,9.21,,,9.64,7.13,18.45,,,6.54,,,8.82,10.06,,,,,,,,,,,,,
2017-08-09,,,,,,,,,,,,,,,,,,,54.85,,4.2,6.79,6.01,43.07,1.8,,1.88,6.074999999999999,,6.38,,,8.01,6.6,33.96,,,6.58,,,21.72,10.21,,,,,,,,,,,,,
