Date,AP001,AP005,DL002,DL004,DL007,DL011,DL012,DL017,DL019,DL021,DL025,DL028,DL030,DL031,DL033,GJ001,HR014,KA003,KL008,PB001,RJ004,RJ005,RJ006,TG001,TG002,TG003,TG004,TG005,TG006,TN001,TN004,UP012,UP014,DL003,DL009,DL010,DL015,DL016,DL018,DL027,DL032,DL037,DL038
2017-07-01,,,,,,,,,,,,,,,,,17.05,11.34,13.63,12.36,,1.35,,,27.33,29.61,40.68,,,24.55,,26.58,11.58,,,,,,,,,,
2017-07-02,,,,,,,,,,,,,,,,,17.83,10.47,14.29,6.43,,1.2,,,30.66,24.27,40.02,,,34.7,,30.39,12.27,,,,,,,,,,
2017-07-03,,,,,,,,,,,,,,,,,22.87,10.21,21.13,9.21,,1.17,,,27.54,27.19,41.02,,,26.47,,31.73,19.97,,,,,,,,,,
2017-07-04,,,,,,,,,,,,,,,,,16.7,9.67,19.87,6.62,,1.21,,,18.66,27.69,41.54,,,10.34,,31.65,12.88,,,,,,,,,,
2017-07-05,,,,,,,,,,,,,,,,,15.97,8.98,19.37,12.2,,1.27,,,19.74,28.87,42.46,,,23.07,,33.02,12.72,,,,,,,,,,
2017-07-06,,,,,,,,,,,,,,,,,17.69,9.26,18.33,5.68,,1.17,,,20.09,25.82,42.78,,,24.43,,14.95,14.05,,,,,,,,,,
2017-07-07,,,,,,,,,,,,,,,,,18.06,12.39,16.48,6.84,,1.22,,,19.94,30.99,40.49,,,29.22,,14.67,12.23,,,,,,,,,,
2017-07-08,,,,,,,,,,,,,,,,,22.11,9.39,16.13,6.66,,1.34,,,23.67,36.46,42.21,,,14.07,,12.8,14.48,,,,,,,,,,
2017-07-09,,,,,,,,,,,,,,,,,12.89,9.34,18.74,9.9,,1.7,,,24.02,29.14,45.47,,,25.97,,15.15,12.79,,,,,,,,,,
2017-07-10,,,,,,,,,,,,,,,,,9.91,10.61,17.31,13.14,,1.83,,,23.77,31.94,36.09,,,28.01,,14.62,10.66,,,,,,,,,,
2017-07-11,,,,,,,,,,,,,,,,,15.51,12.44,16.83,8.84,,2.18,,,18.95,23.6,38.16,,,23.74,,14.06,12.12,,,,,,,,,,
2017-07-12,,,,,,,,,,,,,,,,,8.85,18.42,15.24,6.22,,1.54,,,25.46,25.53,37.25,,,15.57,,15.51,11.2,,,,,,,,,,
2017-07-13,,,,,,,,,,,,,,,,,23.56,24.82,15.47,7.82,,1.35,,,23.43,23.07,39.16,,,17.01,,21.25,14.38,,,,,,,,,,
