Date,AP001,AP005,DL002,DL004,DL007,DL012,DL014,DL017,DL019,DL025,DL028,DL030,DL031,KA005,KA010,KL008,PB001,RJ004,RJ005,RJ006,TG001,TG002,TG003,TG004,TG006,DL003,DL009,DL015,DL016,DL032,DL035,DL037
2017-07-01,,,,,,,224.62,,,,,,,129.55,,39.71,68.4,,26.17,,,43.69,37.26,46.74,,,,,,,,
2017-07-02,,,,,,,223.56,,,,,,,110.45,,27.62,102.32,,33.12,,,38.62,34.66,40.29,,,,,,,,
2017-07-03,,,,,,,246.98,,,,,,,93.48,,22.56,86.58,,51.67,,,44.78,40.59,53.78,,,,,,,,
2017-07-04,,,,,,,,,,,,,,82.18,,43.69,99.05,,76.36,,,48.78,42.94,54.24,,,,,,,,
2017-07-05,,,,,,,,,,,,,,87.64,,68.32,112.06,,91.07,,,38.32,31.03,41.64,,,,,,,,
2017-07-06,,,,,,,,,,,,,,79.21,,55.04,71.1,,101.47,,,45.48,42.02,47.59,,,,,,,,
2017-07-07,,,,,,,,,,,,,,126.74,,49.78,87.67,,80.86,,,39.57,40.01,50.84,,,,,,,,
2017-07-08,,,,,,,,,,,,,,120.31,,47.71,117.47,,1.02,,,47.43,48.43,69.95,,,,,,,,
2017-07-09,,,,,,,,,,,,,,109.11,,31.62,104.02,,40.85000000000001,,,44.75,44.79,52.86,,,,,,,,
2017-07-10,,,,,,,,,,,,,,102.45,,31.78,90.57,,80.68,,,35.65,36.49,53.99,,,,,,,,
2017-07-11,,,,,,,,,,,,,,88.16,,18.65,95.06,,120.51,,,46.56,52.78,78.05,,,,,,,,
2017-07-12,,,,,,,,,,,,,,76.48,,36.27,90.82,,0.42,,,45.25,42.98,53.52,,,,,,,,
2017-07-13,,,,,,,,,,,,,,95.74,,47.88,97.67,,34.01,,,38.31,38.29,52.15,,,,,,,,
2017-07-14,,,,,,,,,,,,,,96.47,,46.79,96.92,,41.65,,,29.84,32.32,43.03,,,,,,,,
2017-07-15,,,,,,,,,,,,,,112.32,,60.83,97.63,,64.8,,,61.53,58.79,75.75,,,,,,,,
2017-07-16,,,,,,,,,,,,,,98.67,,43.6,97.87,,83.5,,,32.88,35.22,53.24,,,,,,,,
2017-07-17,,,,,,,,,,,,,,110.36,,52.15,101.51,,76.56,,,24.68,26.08,30.73,,,,,,,,
2017-07-18,,,,,,,,,,,,,,82.75,,54.44,94.42,,84.18,,,16.14,17.25,21.14,,,,,,,,
2017-07-19,,,,,,,,,,,,,,66.58,,38.51,104.81,,52.25,,,12.69,12.12,18.61,,,,,,,,
2017-07-20,,,,,,,,,,,,,,87.62,,35.72,113.81,,89.06,,,16.33,11.08,23.01,,,,,,,,
2017-07-21,,,,,,,,,,,,,,104.24,,22.98,97.7,,73.55,,,34.09,27.17,42.71,,,,,,,,
2017-07-22,,,,,,,,,,,,,,120.48,,35.6,98.4,,55.4,,,54.75,47.39,57.65,,,,,,,,
2017-07-23,,,,,,,,,,,,,,117.82,,48.22,102.03,,70.7,,,64.73,62.77,72.78,,,,,,,,
