Date,AP001,AP005,BR007,DL002,DL004,DL007,DL008,DL012,DL013,DL014,DL017,DL019,DL021,DL025,DL028,DL030,DL031,DL033,DL034,GJ001,HR014,KA003,KA009,KL008,PB001,RJ004,RJ005,RJ006,TG001,TG002,TG003,TG004,TG005,TG006,TN001,TN003,TN004,UP012,UP014,UP016,DL003,DL010,DL015,DL016,DL018,DL024,DL026,DL027,DL035,DL037,DL038
2017-07-01,,,,,,,,,,,,,,,,,,,43.35,,76.66,,25.33,14.69,45.34,,25.14,,,10.53,9.46,12.94,,,56.49,,,33.75,42.51,,,,,,,,,,,,
2017-07-02,,,,,,,,,,,,,,,,,,,20.52,,61.17,,30.07,10.59,41.09,,28.74,,,9.17,7.16,12.94,,,62.74,,,24.75,44.75,,,,,,,,,,,,
2017-07-03,,,,,,,,,,,,,,,,,,,46.71,,69.17,,25.82,10.4,36.95,,39.4,,,10.94,9.98,14.33,,,47.17,,,16.12,41.84,,,,,,,,,,,,
2017-07-04,,,,,,,,,,,,,,,,,,,116.12,,110.09,,,19.2,43.04,,52.82,,,20.25,10.11,16.23,,,37.6,,,19.01,37.39,,,,,,,,,,,,
2017-07-05,,,,,,,,,,,,,,,,,,,50.81,,359.63,,,22.43,46.59,,56.88,,,9.22,7.93,14.04,,,46.61,,,23.14,38.34,,,,,,,,,,,,
2017-07-06,,,,,,,,,,,,,,,,,,,47.17,,97.11,,,19.08,49.08,,68.1,,,13.3,12.77,17.92,,,42.38,,,24.41,24.55,,,,,,,,,,,,
2017-07-07,,,,,,,,,,,,,,,,,,,41.42,,455.38,,,18.61,49.0,,60.61,,,13.85,12.17,18.29,,,53.45,,,36.74,20.01,,,,,,,,,,,,
2017-07-08,,,,,,,,,,,,,,,,,,,45.31,,137.34,,313.59,33.78,48.72,,54.57,,,15.4,15.3,23.56,,,59.81,,,35.78,14.64,,,,,,,,,,,,
2017-07-09,,,,,,,,,,,,,,,,,,,58.46,,821.42,,35.29,14.47,49.515,,46.43,,,17.32,14.85,22.11,,,52.28,,,30.47,12.41,,,,,,,,,,,,
2017-07-10,,,,,,,,,,,,,,,,,,,41.92,,147.12,,33.44,15.94,50.31,,44.47,,,12.92,12.86,21.1,,,42.48,,,51.33,14.07,,,,,,,,,,,,
2017-07-11,,,,,,,,,,,,,,,,,,,33.04,,382.31,,29.38,8.74,50.33,,81.08,,,16.88,16.54,24.51,,,62.34,,,21.75,13.5,,,,,,,,,,,,
2017-07-12,,,,,,,,,,,,,,,,,,,22.35,,75.84,,27.64,17.33,48.58,,41.86,,,14.15,10.57,18.15,,,28.72,,,31.8,12.08,,,,,,,,,,,,
2017-07-13,,,,,,,,,,,,,,,,,,,22.44,,65.39,24.39,31.46,17.62,46.72,,33.25,,,14.4,7.4,18.28,,,62.64,,,28.41,24.42,,,,,,,,,,,,
2017-07-14,,,,,,,,,,,,,,,,,,,30.35,,723.16,10.36,35.0,14.44,51.53,,30.59,,,13.9,10.36,16.02,,,48.22,,,40.86,67.77,,,,,,,,,,,,
