Date,AP001,AP005,BR007,DL002,DL011,DL013,DL019,DL021,DL028,DL031,DL033,GJ001,HR014,KA003,KA005,KA009,KA010,KL008,PB001,RJ004,RJ005,RJ006,TG001,TG002,TG003,TG004,TG005,TG006,TN001,TN003,TN004,UP012,UP014,UP016,DL003,DL009,DL010,DL015,DL016,DL018,DL024,DL026,DL027,DL032,DL037
2017-07-01,,,,,,,,,,,,,3.81,4.3,7.24,12.26,,3.34,3.87,,9.53,,,1.55,7.96,0.97,,,4.63,,,3.87,4.98,,,,,,,,,,,,
2017-07-02,,,,,,,,,,,,,3.57,4.29,7.1,7.86,,4.14,3.29,,9.35,,,3.0,14.57,0.82,,,4.54,,,3.12,3.39,,,,,,,,,,,,
2017-07-03,,,,,,,,,,,,,3.42,4.35,7.53,6.78,,4.6,3.64,,10.11,,,8.23,12.12,1.67,,,4.62,,,2.42,4.59,,,,,,,,,,,,
2017-07-04,,,,,,,,,,,,,3.98,4.26,7.25,,,3.86,3.76,,8.95,,,10.93,12.16,1.92,,,4.87,,,2.93,3.77,,,,,,,,,,,,
2017-07-05,,,,,,,,,,,,,3.74,1.9,7.49,,,3.49,2.67,,9.28,,,12.21,11.97,1.39,,,4.69,,,2.48,3.46,,,,,,,,,,,,
2017-07-06,,,,,,,,,,,,,3.85,2.2,7.37,,,3.18,3.56,,9.37,,,5.6,11.04,4.88,,,4.5,,,3.48,3.68,,,,,,,,,,,,
2017-07-07,,,,,,,,,,,,,3.61,2.84,7.27,,,3.9,4.13,,9.14,,,4.97,11.9,1.11,,,11.84,,,2.07,3.88,,,,,,,,,,,,
2017-07-08,,,,,,,,,,,,,3.59,2.47,7.47,,,3.98,2.99,,9.27,,,3.95,12.13,2.08,,,4.72,,,3.23,4.03,,,,,,,,,,,,
2017-07-09,,,,,,,,,,,,,3.67,3.19,7.13,,,3.57,3.4000000000000004,,9.35,,,4.74,13.24,2.16,,,4.57,,,5.96,3.39,,,,,,,,,,,,
2017-07-10,,,,,,,,,,,,,3.3,2.3,7.46,7.21,,4.36,3.81,,9.74,,,3.95,13.6,3.08,,,4.24,,,3.78,3.54,,,,,,,,,,,,
