Date,AP001,AP005,BR007,DL002,DL017,DL019,DL021,DL025,DL028,DL030,DL033,GJ001,KA003,KA009,PB001,RJ005,RJ006,TG001,TG002,TG003,TG004,TG005,TG006,TN001,TN004,UP012,UP014,DL003,DL010,DL027,DL037,DL038
2017-07-01,,0.0,0.0,,,0.0,,,,,0.0,,0.42,0.0,2.46,0.46,,0.0,0.57,0.92,0.58,0.0,0.0,0.04,0.0,3.42,5.01,,,,,
2017-07-02,,0.0,0.0,,,0.0,,,,,0.0,,0.49,34.22,3.35,0.78,,0.0,0.24,1.32,0.49,0.0,0.0,0.07,0.0,1.36,4.96,,,,,
2017-07-03,,0.0,0.0,,,0.0,,,,,0.0,,0.49,,3.56,0.34,,0.0,1.14,1.26,0.7,0.0,0.0,0.11,0.0,1.08,5.0,,,,,
2017-07-04,,0.0,0.0,,,0.0,,,,,0.0,,0.42,,3.34,0.21,,0.0,0.79,1.54,0.4,0.0,0.0,0.0,0.0,1.32,4.97,,,,,
2017-07-05,,0.0,0.0,,,0.0,,,,,0.0,,0.75,,3.12,0.19,,0.0,1.62,1.65,0.89,0.0,0.0,0.7,0.0,1.6,4.21,,,,,
2017-07-06,,0.0,0.0,,,0.0,,,,,0.0,,0.81,,3.0250000000000004,0.13,,0.0,3.62,2.18,1.64,0.0,0.0,0.0,0.0,2.22,2.98,,,,,
2017-07-07,,0.0,0.0,,,0.0,,,,,0.0,,0.84,,2.93,0.1,,0.0,3.76,1.67,2.19,0.0,0.0,0.08,0.0,2.82,3.0,,,,,
2017-07-08,,0.0,0.0,,,0.0,,,,,0.0,,0.94,0.0,,0.26,,0.0,2.15,1.79,3.61,0.0,0.0,0.28,0.0,1.97,2.99,,,,,
2017-07-09,,0.0,0.0,,,0.0,,,,,0.0,,0.52,0.0,,0.11,,0.0,1.39,2.23,2.41,0.0,0.0,0.21,0.0,0.48,2.98,,,,,
2017-07-10,,0.0,,,,0.0,,,,,0.0,,0.58,0.0,,0.0825,,0.0,4.46,2.06,5.28,0.0,0.0,0.21,0.0,1.54,2.98,,,,,
2017-07-11,,0.0,,,,0.0,,,,,0.0,,0.63,,,0.055,,0.0,7.41,2.58,5.99,0.0,0.0,0.34,0.0,0.24,3.0,,,,,
2017-07-12,,0.0,,,,0.0,,,,,0.0,,1.04,,,0.0275,,0.0,3.08,2.28,8.33,0.0,0.0,0.39,0.0,0.0,2.97,,,,,
2017-07-13,,0.0,,,,0.0,,,,,0.0,,0.69,,,0.0,,0.0,1.87,2.43,7.41,0.0,0.0,1.28,0.0,0.0,2.99,,,,,
2017-07-14,,0.0,0.0,,,0.0,,,,,0.0,,0.54,,2.49,0.0,,0.0,0.96,1.92,4.39,0.0,0.0,1.25,0.0,0.72,2.99,,,,,
2017-07-15,,0.0,0.0,,,0.0,,,,,0.0,,0.57,,3.64,0.0,,0.0,0.2,1.7,0.94,0.0,0.0,0.9,0.0,0.38,2.98,,,,,
2017-07-16,,0.0,0.0,,,0.0,,,,,0.0,,0.41,,3.6,0.32,,0.0,0.21,2.36,4.33,0.0,0.0,0.0,0.0,0.27,2.99,,,,,
2017-07-17,,0.0,0.0,,,0.0,,,,,0.0,,0.42,,2.135,0.64,,0.0,3.39,2.35,19.05,0.0,0.0,0.09,0.0,0.29,2.89,,,,,
2017-07-18,,0.0,0.0,,,0.0,,,,,0.0,,0.49,,0.67,5.2,,0.0,0.5,1.97,0.39,0.0,0.0,0.0,0.0,0.42,2.94,,,,,
2017-07-19,,0.0,0.0,,,0.0,,,,,0.0,,0.51,,0.99,0.47,,0.0,0.53,1.93,0.29,0.0,0.0,0.9,0.0,0.33,2.99,,,,,
2017-07-20,,0.0,0.0,,,0.0,,,,,0.0,,0.38,,1.0,0.79,,0.0,0.39,1.96,1.12,0.0,0.0,1.0,0.0,0.0,3.0,,,,,
2017-07-21,,0.0,0.0,,,0.0,,,,,0.0,,0.45,35.85,1.02,2.55,,0.0,0.44,1.72,3.87,0.0,0.0,0.33,0.0,0.02,2.97,,,,,
2017-07-22,,0.0,0.0,,,0.0,,,,,0.0,,0.39,22.72,1.22,0.06,,0.0,0.2,1.54,1.14,0.0,0.0,0.31,0.0,0.07,2.99,,,,,
2017-07-23,,0.0,0.0,,,0.0,,,,,0.0,,0.35,34.98,,0.44,,0.0,0.1,1.99,0.14,0.0,0.0,0.0,0.0,0.0,2.96,,,,,
2017-07-24,,0.0,0.0,,,0.0,,,,,0.0,,0.44,34.05,,0.0,,0.0,0.68,2.05,1.41,0.0,0.0,0.03,0.0,0.06,3.0,,,,,
2017-07-25,,0.0,0.0,,,0.0,,,,,0.0,,0.5,20.95,,0.92,,0.0,0.1,2.1,1.88,0.0,0.0,0.23,0.0,0.09,2.99,,,,,
2017-07-26,,0.0,0.0,,,0.0,,,,,0.0,,0.36,11.06,,0.28,,0.0,0.65,1.77,3.03,0.0,0.0,0.16,0.0,1.07,2.98,,,,,
2017-07-27,,0.0,,,,0.0,,,,,0.0,,0.57,1.17,,0.56,,0.0,0.7,2.68,1.9,0.0,0.0,0.0,0.0,3.18,2.97,,,,,
2017-07-28,,0.0,,,,0.0,,,,,0.0,,0.79,15.12,,0.17,,0.0,0.92,2.73,2.03,0.0,0.0,0.61,0.0,3.16,3.0,,,,,
2017-07-29,,0.0,,,,0.0,,,,,0.0,,0.77,29.07,2.08,0.36,,0.0,2.41,2.89,3.78,0.0,0.0,0.08,0.0,3.2,2.99,,,,,
2017-07-30,,0.0,,,,0.0,,,,,0.0,,0.52,18.62,1.6,0.5499999999999999,,0.0,2.38,3.39,11.38,0.0,0.0,0.0,0.0,2.96,2.98,,,,,
2017-07-31,,0.0,0.0,,,0.0,,,,,0.0,,0.82,33.61,30.21,0.74,,0.0,10.19,2.88,11.24,0.0,0.0,0.02,0.0,0.79,2.99,,,,,
2017-08-01,,0.0,0.0,,,0.0,,,,,0.0,,1.02,48.6,0.16,0.18,,0.0,5.3,3.27,11.42,0.0,0.0,0.06,0.0,3.19,2.99,,,,,
2017-08-02,,0.0,0.0,,,0.0,,,,,0.0,,0.63,45.19,,0.37,,0.0,5.55,3.15,3.78,0.0,0.0,0.02,0.0,3.19,2.97,,,,,
2017-08-03,,0.0,0.0,,,0.0,,,,,0.0,,0.68,41.78,,0.17,,0.0,2.85,2.89,0.41,0.0,0.0,0.03,0.0,3.2,2.99,,,,,
2017-08-04,,0.0,0.0,,,0.0,,,,,0.0,,0.98,43.44,,0.84,,0.0,2.29,3.37,5.52,0.0,0.0,0.03,0.0,3.17,3.02,,,,,
