Date,AP005,BR007,DL017,DL025,DL030,GJ001,PB001,TG001,TG002,TG003,TG004,TG005,TG006
2017-07-01,0.0,0.0,,,,,0.44,0.0,0.55,0.08,0.01,0.0,0.0
2017-07-02,0.0,0.0,,,,,0.29,0.0,0.0,0.08,0.0,0.0,0.0
2017-07-03,0.0,0.0,,,,,0.54,0.0,0.36,0.15,2.75,0.0,0.0
2017-07-04,0.0,0.0,,,,,0.995,0.0,0.35,0.16,0.58,0.0,0.0
2017-07-05,0.0,0.0,,,,,1.45,0.0,0.69,0.2,0.49,0.0,0.0
2017-07-06,0.0,0.0,,,,,,0.0,1.58,0.54,31.08,0.0,0.0
2017-07-07,0.0,0.0,,,,,,0.0,0.56,0.34,12.48,0.0,0.0
2017-07-08,0.0,0.0,,,,,,0.0,0.46,0.42,5.43,0.0,0.0
2017-07-09,0.0,0.0,,,,,,0.0,0.09,0.27,3.69,0.0,0.0
2017-07-10,0.0,,,,,,,0.0,0.61,0.35,8.0,0.0,0.0
2017-07-11,0.0,,,,,,,0.0,0.73,0.53,13.28,0.0,0.0
2017-07-12,0.0,,,,,,,0.0,0.31,0.28,2.63,0.0,0.0
2017-07-13,0.0,,,,,,,0.0,0.13,0.3,2.11,0.0,0.0
2017-07-14,0.0,0.0,,,,,2.23,0.0,0.08,0.32,3.01,0.0,0.0
2017-07-15,0.0,0.0,,,,,0.54,0.0,0.0,0.2,1.54,0.0,0.0
2017-07-16,0.0,0.0,,,,,0.44,0.0,0.0,0.22,0.28,0.0,0.0
2017-07-17,0.0,0.0,,,,,0.27,0.0,0.03,0.29,3.78,0.0,0.0
2017-07-18,0.0,0.0,,,,,0.1,0.0,0.04,0.16,0.93,0.0,0.0
2017-07-19,0.0,0.0,,,,,0.32,0.0,0.01,0.16,0.71,0.0,0.0
2017-07-20,0.0,0.0,,,,,0.59,0.0,0.04,0.1,0.25,0.0,0.0
2017-07-21,0.0,0.0,,,,,0.5,0.0,0.02,0.08,0.73,0.0,0.0
2017-07-22,0.0,0.0,,,,,0.17,0.0,0.01,0.08,0.24,0.0,0.0
2017-07-23,0.0,0.0,,,,,,0.0,0.0,0.1,0.14,0.0,0.0
2017-07-24,0.0,0.0,,,,,,0.0,0.18,0.11,0.24,0.0,0.0
2017-07-25,0.0,0.0,,,,,,0.0,0.03,0.2,1.3,0.0,0.0
2017-07-26,0.0,0.0,,,,,,0.0,0.03,0.22,10.38,0.0,0.0
2017-07-27,0.0,,,,,,,0.0,0.03,0.21,3.3,0.0,0.0
2017-07-28,0.0,,,,,,,0.0,0.09,0.18,3.96,0.0,0.0
2017-07-29,0.0,,,,,,0.1,0.0,0.11,0.53,5.47,0.0,0.0
2017-07-30,0.0,,,,,,0.21,0.0,0.05,0.36,6.31,0.0,0.0
2017-07-31,0.0,0.0,,,,,0.85,0.0,0.16,0.28,11.86,0.0,0.0
2017-08-01,0.0,0.0,,,,,0.46,0.0,0.09,0.46,12.52,0.0,0.0
2017-08-02,0.0,0.0,,,,,,0.0,0.17,0.63,5.51,0.0,0.0
2017-08-03,0.0,0.0,,,,,,0.0,0.04,0.34,1.01,0.0,0.0
2017-08-04,0.0,0.0,,,,,,0.0,0.15,0.33,2.12,0.0,0.0
2017-08-05,0.0,0.0,,,,,,0.0,0.12,0.41,6.1,0.0,0.0
2017-08-06,0.0,0.0,,,,,,0.0,0.07,0.35,2.55,0.0,0.0
2017-08-07,0.0,0.0,,,,,,0.0,6.15,0.46,3.1,0.0,0.0
2017-08-08,0.0,0.0,,,,,4.35,0.0,20.59,0.5,3.52,0.0,0.0
2017-08-09,0.0,0.0,,,,,3.01,0.0,3.59,0.56,2.35,0.0,0.0
